cobh.annick.1	Ann Ni가 나타날 수 있습니다.
cobh.subnpc.bassanio.53	<p/><npcportrait name='portia'/><title name='鲍西娅'/>
cobh.subnpc.bassanio.54	[? 남성 : 나도 너를 사랑해 ... / 너를 너무 사랑해. 바자 리오. ]
cobh.subnpc.bassanio.55	나는 너를 사랑해. <p/>그런데, 여기에 문지르지 마라. 3 일 남았습니까? 서둘러, 당신은 여전히 ​​따라 잡을 수 있습니다. <button title='nod' keyword='@Yes'/>
cobh.subnpc.bassanio.56	보샤 ... 콧노래. 다른 남자와 결혼 할 수 없다! ! | 앤 나이키 언니 ... ...... 헤이 헤이, 오늘은 너무 예뻐 보이네. 그것은 더 싸게 될 수 있습니까? 응? 귀하의 이름은 <username/>입니까? 포 시아에가는 사람들을 다루는 것은 당신의 책임입니다! <p/>나의 바사 노에게는 시간이 필요합니다. 안토니오에게서 돈을 빌 렸어? 가! 내 사람은 매우 바쁘다. 그녀를 봤어? Bazinho와 같은 남자들 만이 그 여자를 사랑하는 남자들입니다 ... 나는 그것을 믿을 수 없습니다.
cobh.subnpc.bassanio.57	셜록이 나쁜 놈 ... 민간인으로서, 오만한 돈을 벌어. 셜록은 사형을 선고 받았다. 보샤 ... 지금 절보고 싶니? 아 ... 내 사랑 ... 사랑은 정말 대단해! 벨파스트의 밤은 매우 외롭다. .. 정말로 Portia에 일찍 가고 싶다. 누가 알 겠어? 원래 결혼식은 너무 많이 준비해야 해 ... ... 나는 포시 아가 보러 간다고 생각했다.
cobh.subnpc.bassanio.58	하하하 ... 오늘 포시아는 정말 아름다워 보여? 나는 정말로 운이 좋다. 하하하! 응? 왜 그렇게 자주 온거야? 아이디어가 없습니까? | <Npcportrait name='NONE'/><title name='NONE'/>(포샤는 무딘이 찾고.) | 그녀가하고있는 경우뿐만 아니라,이 사막 개미 지옥에서는, 추정되지 않는다 Pisins 스노우 필드의 동굴도 행복 할 수 있습니다. 나는 내 세계에 모든 것을 가지고있다 ... 당신은 몰라?
cobh.subnpc.bassanio.59	……
cobh.subnpc.cobhworker.1	빌어 먹을 해적! 귀하의 가족을 먹이 돈을 버는 것이 문제가되었습니다 ... | 도킹 프로젝트가 완료되면 아? 날씨가 너무 좋지 않아요, 그렇죠? 정말로 보트로 여기를 떠나고 싶다. 무엇을보아야합니까? 나는 일하지 않았다, 나를 차별합니까? 터미널이 완성 된 후에해야 할 일이 있어야합니다 ... | 지루해지다 | 정말 짜증나! 해적이 너무 무섭다! 너는 서둘러서 돈을 벌어야 해 ... 과거에는 나도 괜찮은 노동 계급이었다.
cobh.subnpc.cobhworker.2	(통신 할 수없는 것 같습니다)
cobh.subnpc.cobhworker.3	지독한 해적을 비난하십시오, 심지어 일이 손실됩니다! 이봐 요 ... 졸리 .. 뭔가 괜찮아요. 지루한 게 없어요. | 도크 수리 작업이 곧 완료되었습니다. 새 직장을 만들 수 있습니다. | 건설 내가 아직 거기에 없었지만, 그것은 장대하다고 말했고, 당신이 그것을보아야 할 기회가 있습니다. 독점과 같은 거인처럼 나에게 오기를? </p>....... <p/>... <p/>어쨌든, 당신은 희망을 포기할 수 없습니다!
cobh.subnpc.cobhworker.4	고마워, 나 한테 뭔가 필요한거야?
cobh.subnpc.dughall.1	마을의 평화로운 분위기 ... 언젠가는 내 마음이 구속받을 수 있기를 바란다 ... | 나는 너무 많은 나쁜 일을했다 ... | 그들이 구출되었는지는 모르겠다. 여기에는 그런 건있을 수 없어요 ... | 그들과 거래하지 않아. 용서를 위해 항상기도 할 것입니다. 날씨는 나쁘지 않습니다 ... 나는 그 사람들이 더 나아질 것을 바랍니다. 이것은 매우 평화로운 곳입니다. 나는 그것을 좋아합니다. 그 유령 장소로 돌아가고 싶지는 않아요 ... | 다시 ... 나를 쳐다 보지 마! 무자비하게 뻔뻔하게 문제를 일으키지 마.
cobh.subnpc.dughall.2	(통신 할 수없는 것 같습니다)
cobh.subnpc.dughall.3	평화로 가득 차서 ... 내가 살곤했던 곳과는 완전히 다르다. 나는 네가 너무 가까워지지 않도록 제안한다. 때때로 나는 내가 할 수있는 일에 대해 더 흥미 진진한 것을 반영한다 ... | 나는 그 해적들에 대해 어떤 희망도 가질 수 없다. 그냥 혼자 있고 싶어, 피곤해 ... 햇볕에 나를 차단하지 않니? 언젠가 희망, 내 마음은 구속 될 것입니다 ... 그 노예들은 가난하고 무력한 사람들입니다. 우리는 그들을 구제하고 보호해야 할 의무가 있습니다.
cobh.subnpc.dughall.4	고마워요 ...이 선물은 너무 비싸요. 고마워, 나는 그것을 잘 활용할거야.
cobh.subnpc.dughall.5	사실, 저에게 멋진 선물을 보낼 필요가 없습니다 ... 고마워요. 나는 너무나 기분이 좋다.
cobh.subnpc.dughall.6	나는 지금 그것을 필요로한다. 고마워.
cobh.subnpc.dughall.7	이것은 너무 비싸 ... 간단히 말해서, 고마워요.
cobh.subnpc.lonnie.1	오늘 날씨가 좋다. 그렇지 않니? 나는 또한 보트를 타고 싶다! 정상적인 탐색은 언제 가능합니까? 나는 항구에 큰 배가 있기를 정말로 바란다! | 해적을 없애라! 정말로 야생을 생각해 ~ ~ 꿈은 모두 보트를 타고 싶다! 나는 보트를 타고 여기를 떠나고 싶어 ~ | 나는 자랐다! 나는 가장 멋진 캡틴이 될 것이다! 도런 언니가 너무 차갑다! 모두 Maddock이 나쁜 놈이라고 생각하니? Dugard는 해적이었습니다. 무서워 앤 니 여동생은 매우 강력한 해적이 될 수 있습니다!
cobh.subnpc.lonnie.2	(통신 할 수없는 것 같습니다)
cobh.subnpc.lonnie.3	자라, 나는 선장이 돼야 해! 나는 많은 사람들이 배를 타고 대도시를 볼 수 있다고 들었다. 나는 그 해적들을 두려워하지 않는다! | 咦? 당신이 대도시 출신 일 수 있습니까? 이봐 ... 원래는 아 아닙니다! 그게 다야! 얼마나 오래 배를 탈 수 있을까요? 프로젝트가 완료되면 여기에 많은 사람들이 와야합니다. 나는 좋은 사람들이 나를 데려다 줄 것이라고 믿는다!
cobh.subnpc.lonnie.4	너는 좋은 사람이야! 고마워. 그것은 정말로 나를위한 것입니까? 하하 ~ 감사합니다 ~
cobh.subnpc.lonnie.5	오 ~ 선물입니다! 하하 ~ 감사합니다!
cobh.subnpc.lonnie.6	동의 할 수 있습니까? 고마워!
cobh.subnpc.lonnie.7	이거 ... 글쎄, 내가 잠시 들자.
cobh.subnpc.madoc.1	그게 당신에게 아무 것도 줄 수 없어요, 이봐 ... | 당신에게 더 싼 것, 어떻게? 나는 사냥꾼이 아니다. 해적들은 돈을 벌어야합니다. 물론 그들은 사업을해야합니다. 내 배가 안전하길 바래, 이봐! 너 Domen을 보면 ... ... 바보가 아니니? | 내가 말한 것을 도몬에게 말하지 마라. | 폭풍우가 온다는 느낌이야. 배가 약간 배고프 니, 나에게 무언가를 먹으라고 부탁해 줄 수 있니? 나는 또한 세계에서 무료 점심이 없다는 것을 알고있다. 사실, 사업에도 마찬가지입니다. 더 많은 보트에 대해 들어 보셨습니까? 헤이 헤이 ...
cobh.subnpc.madoc.2	(통신 할 수없는 것 같습니다)
cobh.subnpc.madoc.3	이봐 요 ... 옷이 너무 좋아 보이지 않아요. 금화를 최대 100 개까지 보자 ~ ~ 나는 아주 쉽다. 사람들은 사업을합니다. 사실 바다 도둑 내부에는 좋은 사람들이 있습니다. 이봐 요 ... 몬몬 남자는 사업에 적합하지 않습니다 ... ... 너무 많이 설명하지 않겠습니다. 내 배는 항상 안전했습니다. 그것은 나의 가장 큰 돈 만드는 도구입니다. 나는 Domon이 바다에 가라 앉을 때, 헤이 헤이 헤이 ...
cobh.subnpc.madoc.4	음, 이것은 매우 실용적입니다. 고마워요! 고마워. 고마워.
cobh.subnpc.madoc.5	거절 할 이유가 없으므로 받아 들여 ... 감사합니다! 간단히 말해서 좋은 점은 아닙니다.
cobh.subnpc.madoc.6	글쎄, 다른지도가 아니지, 그렇지? 뇌물을주고 싶니?
cobh.subnpc.madoc.7	이게 뭐야? 이게 뭐야?
cobh.subnpc.madoc.8	<button title='Maddock 's delegate' keyword='@ask'/><button title='대화 끝내기' keyword='@end'/>
cobh.subnpc.madoc.9	<button title='대화 끝내기' keyword='@end'/>
cobh.subnpc.madoc.10	그 숙제를들은 적이 있니? 손톱을 얻기가 어렵습니다! <p/>... 궁금 하신가요, 관용적입니까? 사실, 문제의 핵심은 여기에 없습니다. <p/>저는 농장이 최근에 개조되었다고 말하고 싶습니다. 관련 건축 자재 자원이 너무 부족합니다. 농장 돌 더미를 축적하지만 재료가 없기 때문에 접근 할 필요가 없습니다. <p/>나에게 손톱 좀 줄 수 있습니까? 손을 잡을 수 있다면 잉여 농가가 당신에게 돌입니다. 어때? <button title='동의 함' keyword='@ok'/><button title='거부' keyword='@No'/>
cobh.subnpc.madoc.11	좋아! ! 나는 잘못된 사람을 보지 못했다고 말했다. 그럼 당신은 노동!
cobh.subnpc.madoc.12	이봐 ~ 너 나처럼 게으르다. 그 생각이 바뀌었다면 나에게 올 수있다.
cobh.subnpc.mailbox_cobh.1	<title name='NONE'/>(의사 소통을 할 수없는 것 같습니다.)
cobh.subnpc.mailbox_cobh.2	<title name='NONE'/>(이메일은 선물을받지 않습니다.)
cobh.subnpc.mailbox_cobh.3	<title name='NONE'/>(편지함에서 문자를 확인할 수 있습니다.) <button title='Cancel' keyword='@end'/>
cobh.subnpc.mailbox_cobh.4	<title name='NONE'/>(사서함을 선택 취소하십시오.)
cobh.subnpc.manolin.1	내 아버지의 목숨은 상어에게 잡혔다. .. | 나는 복수해야만한다. 이미 20 년 이상 낚시. 오늘 그 상어들을 잡을 수 있다고 느껴져 ... | 낚시 ... 내 물고기는 어디 갔지? 날씨가 나빠도 물고기를 잡을 수 있습니다. 내 인생은이 낚싯줄과 같습니다. 상어가 잡힐 때마다, 그것은 그녀의 아버지를 상기시킵니다. 우리 아버지는 회색 고래 상어를 잡으려고했다 ... | 막대가 죽는다 ... 오늘 물고기를 잡지 마라.
cobh.subnpc.manolin.2	(통신 할 수없는 것 같습니다)
cobh.subnpc.manolin.3	그의 아버지는 자신이 꿈꾸어 왔던 물고기를 가지고있었습니다. ... 회색 고래 상어라고합니다. 힘에 따라 붙잡기가 쉽지 않을 것 같습니다. 아버지가 아직 살아 있다면 나는 그것을 이해할 수 있다면 수치 스러울 것이라고 생각한다. | 날씨가 좋다. 낚시하기 좋은 날입니다. 오늘 아침, 나는 큰 상어를 잡았다. 보여 줄 기회를 가져라. 물고기가 물었다. 이 남자는 마침내 구부려진다.
cobh.subnpc.manolin.4	황새치 아니니? 그것은 정말로 나를위한 것입니까? 와우, 정말 고마워! 아버지는 하나 잡으려고 했습니까? 와우 ... 아버지! 나는 마침내 아버지가 사용하기를 원하는 물고기를 얻었습니다. 정말 고마워요! 나는 그것을 위해 그것을 포착 했는가? 어쨌든, 고맙습니다, <username/>.
cobh.subnpc.manolin.5	정말 고마워요! 나는 매우 감동 받았고, 너는 낯선 선물이 될 것이라고 생각하지 않았다 ...
cobh.subnpc.manolin.6	나는 <username/>의 성실함을 느낄 수있다. 나는 그것을 받아 들인다.
cobh.subnpc.manolin.7	고마워!
cobh.subnpc.manolin.8	잠시 그걸 가져 가자.
cobh.subnpc.manolin.9	<button title='Manorin 's delegate' keyword='@ask'/><button title='대화 끝내기' keyword='@end'/>
cobh.subnpc.manolin.10	<button title='대화 끝내기' keyword='@end'/>
cobh.subnpc.manolin.11	...? 맞아 ... 미안해. 내가 그 사람을 언급하자마자, 나는 나 자신을 통제 할 수 없었다. <p/>나를 도와주고 싶니? 바라기를 원한다면 황새치를 얻을 수 있습니다. 크기는 중요하지 않습니다. 물고기 같은 냄새가 그 사람을 가장 자극합니다. <p/>맞아. 내가 얘기했던 그 사람은 고등어 상어였다. 너의 아버지를 복수해라. <p/>너 물고기를 얻을 수 있으면, 너를 갚을 것이다. 나는 아무 것도 얻을 수 없지만 .. <button title='Accept' keyword='@ok'/><button title='거부' keyword='@No'/>
cobh.subnpc.manolin.12	머리는 신선하지 않은 한 중요하지 않습니다.
cobh.subnpc.manolin.13	그건 중요하지 않아, 나 스스로 할 수 있다고 믿어.
cobh.subnpc.tamon.1	그 물건이 나에게 팔렸어? 내 배가 홍콩에 도착하자마자, 나는 당신에게 돈을 지불 할 것입니다! Maddock은 거짓말 쟁이 사업가입니다. 배는 작동하지 않아? 그 해적들이 영원히 사라지기를 바란다 ... | 좋은 일들은 잘 지켜 져야한다! Maddok이 유리하게 굴지 않도록하십시오! 우리 함선에 관한 소식 들었니? 그 해적들은 정말로 혼란 스럽습니다! 내가 내 앞에 서서, 나는 그 두 가지를 펀치하고 싶다 .... 날씨가 좋다, 배는 안전하고 건강하다. 바다가 너무 아름다워 ... 나 같은 정직한 사업가는 너무 적다 ~
cobh.subnpc.tamon.2	(통신 할 수없는 것 같습니다)
cobh.subnpc.tamon.3	오! 너는 아주 비싼 옷을 느낀다. 얼마나? 나에게 팔면 어떨까요? 사업이 정상적으로 할 수 없다고해도 해적들에 대한 책임을 져라! 정직한 사업. Maddock은 완료되었습니다. 얼마 안있어 배가오고있어. 모든 것이 잘 될 것입니다. 누가 나를 위해 사람들을 위해 사업가를 만들었습니까! 하하하!
cobh.subnpc.tamon.4	와우, 나 때문 이니? 꽤 좋은 느낌, 감사합니다! 와우, 고마워!
cobh.subnpc.tamon.5	선물은 아주 좋습니다. 감사합니다! 와우,이게 뭐야? 나는 그것을 잘 활용할 것이다!
cobh.subnpc.tamon.6	동의 할 수 있습니까? 이제 받아들이 자.
cobh.subnpc.tamon.7	이게 뭐야? 이 ... 고맙습니다!
common.1	뭔가 다른 용무가 있는 것 같다
common.2	회화를 멈추고 싶어하고 있는 것 같다
common.3	나를 꽤 마음에 드는 것 같다
common.4	나에게 호감을 가지고 있는 것 같다
common.5	호의적인 눈으로 나를 응시하고 있다
common.6	나와 시선이 마주치지 않도록 하고 있는|나의 일을 싫어하고 있는 것은 분명하다
common.7	노골적으로 싫은 표정을 하고 있다
common.8	내가 있는 것이 조금 거북하다고 하는 표정을 하고 있다
common.9	친한 듯한 표정이다
common.10	친한 듯한 표정을 해 주었다
common.11	나를 보고 있는|제 쪽을 보고 있는|내가 말을 거는 것을 기다리고 있는 것 같다|제 쪽을 주목한|나를 보고 있다
common.12	<title name='NONE'/>(<npcname/>는
common.13	<p/>기억력:
common.14	<br/>호감도:
common.15	<br/>스트레스:
common.16	<br/>아르바이트 성공 회수:
common.17	나에 대해서 나쁜 인상을 받은 것 같다. |들어서는 안 되는 것을 들어 버린 것 같다. |이 화제에 대해 강한 거부감을 나타냈다.
common.18	이 회화를 그만큼 좋아하지 않는다 같다. |이 화제에 대해서는 피하고 싶어하고 있는 것 같다. |그다지 바람직하지 않은 것 같은 표정을 했다.
common.19	조금 기분이 안좋을 것 같은 표정을 했다. |얼굴을 찡그렸다. |이 화제를 그만큼 좋아하지 않는다 같다.
common.20	나에 대해서 매우 좋은 인상을 받은 것 같다. |꽤 마음에 든 화제인것 같다. |이 이야기가 매우 즐거운 듯 하는 표정이다.
common.21	나에 대해서 매우 좋은 인상을 받은 것 같다. |매우 좋아하는 화제였던 것 같다. |이 이야기를 아주 좋아했던 것 같다.
common.22	나에 대해서 좋은 인상을 받은 것 같다. |상당히 즐겁게 이야기를 했다. |꽤 흥미가 있는 것 같다.
common.23	시간 초과
common.24	1시간
common.25	30분
common.26	마감 직전
common.27	시간
common.28	시간 30분
common.29	시간
common.30	오늘
common.31	내일
common.32	모레
common.33	일 후
common.34	심야
common.35	오전
common.36	오후
common.37	밤
common.38	<title name='NONE'/>(<npcname/>는 {0}.)
common.39	<p/>기억력:
common.40	<br/>호감도:
common.41	<br/>스트레스:
common.42	<br/>아르바이트 성공 회수:
common.43	{0} {1}
common.44	수리에 성공했습니다.
common.45	수리에 실패했습니다.
common.46	골드가 부족합니다.
common.47	더 이상 수리할 수 없습니다.
common.48	완벽하게 수리했습니다.
common.49	{0}회 실패해,{1}포인트 수리에 성공했습니다.
common.50	수리에 실패했습니다.
common.51	골드 부족해 수리할 수 없습니다.
common.52	수리에 실패했지만, 수리 보호 포션의 효과로 내구도는 감소하지 않았다.
common.53	<title name='NONE'/>(<npcname/>是 {0})
contest.1	야채
contest.2	과일
contest.3	육류
contest.4	어류
contest.5	혼합한 요리
contest.6	구운 요리
contest.7	데친·익힌 요리
contest.8	반죽한 재료
contest.9	익힌 요리
contest.10	면의 재료
contest.11	볶은 요리
cuilinresidentialdistrict.bernardo.1	버나드가 로그인했습니다.
cuilinresidentialdistrict.bernardo.2	핫학, 이런 것을 중년의 피로라고 할까나? |자유를 만끽하는 것은 얼마만일 것이다. |여기는 조용하기 때문에 생각에 잠길 수 있다. |마세라스의 녀석, 주문한 것을 언제 보내 주는 것이다. |쭉 발송 준비중은, 엎드리면 코 닿을 데인데 너무 하다….
cuilinresidentialdistrict.bernardo.3	(말이 통하지 않는 것 같다.)
cuilinresidentialdistrict.bernardo.4	<npcportrait name='NONE'/><title name='NONE'/>어깨까지 닿는 긴 은발을 한 중년의 은행원. <br/>어색하지만 친밀감이 있는 웃는 얼굴로 말을 걸어 온다. <button title='계속한다' keyword='@continue'/>
cuilinresidentialdistrict.bernardo.5	<npcportrait name='NONE'/><title name='NONE'/>어깨까지 닿는 긴 은발을 한 중년의 은행원. <br/>어색하지만 친밀감이 있는 웃는 얼굴로 말을 걸어 온다. <button title='계속한다' keyword='@continue'/>
cuilinresidentialdistrict.bernardo.6	어서 오십시오. 아스킨 은행의 버나드입니다.
cuilinresidentialdistrict.bernardo.7	<button title='회화' keyword='@talk'/><button title='은행' keyword='@bank'/><button title='집관련 업무' keyword='@residentmenu'/>
cuilinresidentialdistrict.bernardo.8	<button title='종료' keyword='@end'/>
cuilinresidentialdistrict.bernardo.9	<button title='회화' keyword='@talk'/><button title='은행' keyword='@bank'/><button title='집관련 업무' keyword='@residentmenu'/><button title='쿠폰' keyword='@coupon'/>
cuilinresidentialdistrict.bernardo.10	<button title='종료' keyword='@end'/>
cuilinresidentialdistrict.bernardo.11	어서 오십시오. 아스킨 은행 쿠린 지점입니다.
cuilinresidentialdistrict.bernardo.12	뭔가 곤란합니까?
cuilinresidentialdistrict.bernardo.13	쿠폰을 교환하러 온 것입니까? <br/>교환하고 싶은 쿠폰의 번호를 입력해 주세요. <br/><inputbox title='Coupon Exchange\n쿠폰 교환' caption='쿠폰 번호를 입력해 주세요' max_len='20' allow_cancel='true'/>
cuilinresidentialdistrict.bernardo.14	쿠폰을 목록에 넣었습니다. <br/>목록을 확인해 봐 주세요.
cuilinresidentialdistrict.bernardo.15	아… 이 쿠폰은 이제 사용할 수 없는 것 같네요…. <br/>유효기간이 지난 쿠폰입니다.
cuilinresidentialdistrict.bernardo.16	…? 쿠폰 번호를 올바르게 입력했습니까? <br/>그 쿠폰은 벌써 교환된 것입니다만… 한번 더 확인해 보는 편이…
cuilinresidentialdistrict.bernardo.17	응…? 쿠폰 번호를 틀려 입력된 것은…? <br/>그러한 쿠폰은 리스트에 없으면 나오네요.
cuilinresidentialdistrict.bernardo.18	아, 뭔가 에러가…<br/>우선 그 쿠폰은 보관해 둬,<br/>서포트에 연락해 주세요. <br/>지금은 교환할 수 없습니다.
cuilinresidentialdistrict.bernardo.19	완전히…. <username/>씨, 이 쿠폰은 여기서 사용할 수 없어요. <br/>다른 서버로 사용해 주세요.
cuilinresidentialdistrict.bernardo.20	낳는… 이 쿠폰은 왠지 이상하네요…. <br/>이것은 교환할 수 없습니다.
cuilinresidentialdistrict.bernardo.21	<username/>씨, 소지품이 가득 같네요. <br/>내가 아이템을 드려도 받아들이지 않아요. <br/>목록을 정리하고 나서 말을 걸어 주세요.
cuilinresidentialdistrict.bernardo.22	가 관련라면 나에게 들어 주세요. <br/>집의 주소도 확인할 수 있고, 거래중의 집의 입찰 취소도 할 수 있습니다. <br/>또, 계약기간이 지나 물러가지 않으면 안 되는 것이나<br/>돌려주어 받는 보증금도 대신에 보관하고 있습니다. <button title='주소 확인' keyword='@getaddr'/><button title='이에이리지폐 취소' keyword='@payback'/><button title='가구 인수' keyword='@getfurniture'/>
cuilinresidentialdistrict.bernardo.23	<button title='브라우니 고용' keyword='@employ'/><button title='종료' keyword='@end'/>
cuilinresidentialdistrict.bernardo.24	응? 이상하구나…. 주소 기록이 발견되지 않습니다. <br/>잠시 후로부터 또 말을 걸어 주세요.
cuilinresidentialdistrict.bernardo.25	<username/>씨는 {0}에 살고 있네요. <br/>좋은 장소를 눌렀어요. <br/>부럽다!!
cuilinresidentialdistrict.bernardo.26	입찰한 집의 주소를 가르치고 할까요? <br/><username/>씨는 {0} 가에 입찰했습니다.
cuilinresidentialdistrict.bernardo.27	<username/>씨, 가지고 있는 집이 없네요. <br/>입찰하고 있는 집도 없습니다. <br/>집이 없으면 주소도 찾을 수 없어요, 핫학.
cuilinresidentialdistrict.bernardo.28	{0}에 입찰하고 있네요. <br/>입찰 취소 뒤로 돌려주어 받을 수 있는 금액은<br/>{1}골드입니다. <br/>받습니까? 반납금은 은행의 본인의 계좌에 입금하겠습니다.
cuilinresidentialdistrict.bernardo.29	<button title='입찰 취소' keyword='@Yes'/><button title='그만둔다' keyword='@cancel'/>
cuilinresidentialdistrict.bernardo.30	자, 최종 확인입니다. <br/><username/>씨,<br/>정말로 현재 진행중의 집의 입찰을 취소합니까?
cuilinresidentialdistrict.bernardo.31	<button title='취소하지 않는다' keyword='@cancel'/><button title='입찰을 취소한다' keyword='@Yes2'/>
cuilinresidentialdistrict.bernardo.32	입찰 금액을 답례했습니다. <br/>또 여유가 있을 때, 좋은 집을 찾아 주세요.
cuilinresidentialdistrict.bernardo.33	응? 입찰 금액을 답례할 수 없는 상황이군요. <br/>계좌의 최대한도 금액을 넘고 있을지도 모르기 때문에<br/>확인하고 나서 또 신청해 주세요.
cuilinresidentialdistrict.bernardo.34	으응…<username/>씨,<br/>최근에는 집의 입찰을 실시하지 않은듯 하지만…. <br/>그것인가, 벌써 환불금을 받은 것 같습니다. <br/>환불하는 입찰 기록이 없네요.
cuilinresidentialdistrict.bernardo.35	<username/>씨,<br/>집에 입찰했던 적이 없는 것은 아닌지? <br/>한번 더 확인해 주세요.
cuilinresidentialdistrict.bernardo.36	가는 구입했지만 어딘지 부족한 느낌입니까? <br/>그렇다면 가사를 도와 주는 브라우니를 고용해 보는 것도 좋을지도 모릅니다. <br/>한 번 브라우니를 고용해 봅니까?
cuilinresidentialdistrict.bernardo.37	<button title='브라우니란? ' keyword='@aboutbrownie'/><button title='브라우니 고용' keyword='@engagebrownie'/><button title='1단계상에' keyword='@byebye'/><button title='종료' keyword='@end'/>
cuilinresidentialdistrict.bernardo.38	브라우니란, 가사를 도와 주는 요정의 일입니다. <br/>원래 에린에 있었는지는… 잘 모릅니다. <br/>다른 도시에서는 본 적도 없고, 모험가들이<br/>사는 집에만 나타난다고 하는 이야기도 있습니다. <p/>유감스럽지만 사람과 그다지 이야기는 통하지 않습니다만,<br/>세세한 가사를 아주 좋아한 것로<br/>이렇게 해 고용 안내를 하는 일이 되었습니다. <p/>기본적으로 모든 집에는 집사 브라우니가 1명씩<br/>들러붙고 있습니다. 대부분의 가사는 그 아이가 해 줍니다. <br/>그러나 집에서 생산 활동을 하고 싶은 경우는<br/>생산계 브라우니를 고용하면 좋을 것입니다. <p/>생산계 브라우니에는 현재 두 부류가 있어,<br/>실을 만들어 옷감을 짜 주는 방직 브라우니와<br/>광석을 주면 잉곳을 만들어 주는 제련 브라우니를<br/>고용할 수가 있습니다. <p/>아, 브라우니를 고용할 때는, 시키는 일과 관련한<br/>가구를 함께 구입하는 일도 잊지 말아 주세요. <br/>방직 브라우니라면 물레나 방직기, 대장장이라면 노[爐]… 라고 하는 상태입니다. <p/>생산 도구를 설치해 주지 않으면, 아무리 업무상손인<br/>브라우니에서도 아무것도 만들 수 없습니다. <br/>아, 그리고 도면나 도면이 필요할 정도 복잡한 것은<br/>만들 수가 없습니다. <p/>일단 만들어진 것은 생산 윈드우로부터 직접 받지 않으면<br/>안 되기 때문에, 집을 오랫동안 비울 때는 조심해 주세요. <br/>집이 없어져 브라우니가 나가면<br/>그것까지 만들어진 것도 사라져 버리기 때문에. <p/>아무리 계약기간이 끝났다고 해도 브라우니가<br/>도망치거나 만든 것을 돌려주어 주지 않으면 하는 일은 없기 때문에<br/>그 점은 염려말고. <p/>브라우니를 부르는 방법은, 집에 들어가<br/>배치도에 브라우니 계약서를 배치할 뿐입니다. <br/>계약이 끝난 브라우니도 아직 그 자리에 있으므로,<br/>새롭게 계약을 할 때는, 먼저 돌려주고 나서 부르는 편이 좋을 것입니다. <p/>그 이외에도 신경이 쓰이는 일이 있으면, 브라우니들에게<br/>직접 묻거나 다른 사람들에게 도와 받아 주세요. <br/>물론 제일 좋은 방법은, 직접 고용을 해<br/>그들의 특성을 몸으로 기억하는 것이라고 생각합니다.
cuilinresidentialdistrict.bernardo.39	<listbox page_size='8' title='브라우니 고용' cancel='@breakloop'><button title='제련D란크브라우니 10000 Gold' keyword='@refine_d_rank'/><button title='제련 8란크브라우니 30000 Gold' keyword='@refine_8_rank'/><button title='제련 6란크브라우니 50000 Gold' keyword='@refine_6_rank'/><button title='방직D란크브라우니 10000 Gold' keyword='@weaving_d_rank'/><button title='방직 8란크브라우니 30000 Gold' keyword='@weaving_8_rank'/><button title='방직 6란크브라우니 50000 Gold' keyword='@weaving_6_rank'/></listbox>
cuilinresidentialdistrict.bernardo.40	에서는, 어떤 브라우니와 계약합니까? <br/>브라우니 마다 실력이 달라, 스킬 랭크도 다릅니다. <br/>또, 스킬 랭크에 의해 계약비도 다릅니다. <p/>D란크브라우니는 현실 시간에 3시간, 8 란크브라우니는 2시간,<br/>6 란크브라우니는 1시간 고용할 수가 있습니다. <br/><button title='1단계상에' keyword='@breakloop'/>
cuilinresidentialdistrict.bernardo.41	@refine_6_rank
cuilinresidentialdistrict.bernardo.42	id:81009 expire:60
cuilinresidentialdistrict.bernardo.43	제련 6 란크브라우니
cuilinresidentialdistrict.bernardo.44	@refine_8_rank
cuilinresidentialdistrict.bernardo.45	id:81007 expire:120
cuilinresidentialdistrict.bernardo.46	제련 8 란크브라우니
cuilinresidentialdistrict.bernardo.47	@refine_d_rank
cuilinresidentialdistrict.bernardo.48	id:81002 expire:180
cuilinresidentialdistrict.bernardo.49	제련 D란크브라우니
cuilinresidentialdistrict.bernardo.50	@weaving_6_rank
cuilinresidentialdistrict.bernardo.51	id:81008 expire:60
cuilinresidentialdistrict.bernardo.52	방직 6 란크브라우니
cuilinresidentialdistrict.bernardo.53	@weaving_8_rank
cuilinresidentialdistrict.bernardo.54	id:81006 expire:120
cuilinresidentialdistrict.bernardo.55	방직 8 란크브라우니
cuilinresidentialdistrict.bernardo.56	@weaving_d_rank
cuilinresidentialdistrict.bernardo.57	id:81001 expire:180
cuilinresidentialdistrict.bernardo.58	방직 D란크브라우니
cuilinresidentialdistrict.bernardo.59	으응, 이상하네요. <br/>브라우니를 스킬 랭크에 따라 계약할 수 없습니다.
cuilinresidentialdistrict.bernardo.60	방직
cuilinresidentialdistrict.bernardo.61	아, 이 브라우니는 물레나 방직기를 집안에<br/>설치해 주지 않으면 일을 시킬 수가 없습니다. <p/>좀 더 자세한 설명을 듣고 싶다면<br/>브라우니란? 의 항목을 선택해 주세요.
cuilinresidentialdistrict.bernardo.62	제련
cuilinresidentialdistrict.bernardo.63	아, 이 브라우니는 노[爐]를 집안에 설치해 두지 않으면<br/>일을 시킬 수가 없습니다. <p/>좀 더 자세한 설명을 듣고 싶다면<br/>브라우니란? 의 항목을 선택해 주세요.
