iria_elf.subnpc.elf_familyguide.1	가족 보좌관이 나타났습니다.
iria_elf.subnpc.portia.95	이 단어는 매우 비어 있습니다. 기분을 표현할 적절한 단어가 있습니까? <p/>언어를 사용하여 감정을 표현할 수 있습니다.
iria_elf.subnpc.portia.96	마침내 ... Bassanho가 아직 보입니까? 아 ... 내가 어떻게해야하니? 나는 잠시 기다릴 수 없다. <p/><npcportrait name='NONE'/><title name='NONE'/>(그녀는 불편 함을 느끼고 발을 짚고 내 어깨를 잡고 말합니다.) <P/><username/>, 많이 도와주세요! 나는 너와 나를 위해, 너를 믿는다.
iria_elf.subnpc.portia.97	매번 저를 도와 주셔서 감사합니다. <username/>왜 너 친절하니? </p><npcportrait name='NONE'/><title name='NONE'/>(그녀는 한눈에 내 얼굴을 본다.)
iria_elf.subnpc.portia.98	루카스라는 남자를 아십니까? 알다시피, 내가 그것에 대해 가르쳐 주도록 도와주세요! 처음에 나는 무례하고 무례한 남자를 만났습니다. </p>그는 지저분한 턱수염으로 위험한 미소를 보았다.
iria_elf.subnpc.portia.99	키이스라고? 사람들은 어떻게 그렇게 거만 할 수 있습니까? 그것은 당신이 처음 만나는 것은 분명하지만, 그의 말투는 남편만큼이나 무례합니다. Aspen Bank를 통해 돈을 벌고있는 것 같습니다 ... 돈으로 무엇이든 할 수 있다고 생각하는 사람은 최악입니다.
iria_elf.subnpc.portia.100	너도 다시 왔어, <username/>... 나는 너에게 물어보기를 원했다. <p/><npcportrait name='NONE'/><title name='NONE'>그녀는 반짝이는 눈으로 나를 바라 보았다. 마치 무언가를 말하는 것처럼, 투명 입술이 약간 움직이지만 말을 할 수는 없지만 머리를 낮췄습니다.) <p/><face name='sad'/>아니요 ... 괜찮습니다.
iria_elf.subnpc.portia.101	안토니오라는 남자를 만난 적이 있습니까? Bassanio의 친구라면, 그는 또한 아주 좋은 사람입니다. 맞습니까? <p/><npcportrait name='NONE'/><title name='NONE'/>그녀는 Bassinho를 훑어보고 가볍게 머리에 닿았습니다. 당신이 가장 신뢰할 수있는, 좋아하는 <username/>당신이 확실히 달성 할 수 있습니다. <p/>안토니오가 죽으면 그 아픈 아 ...
iria_elf.subnpc.portia.102	오, 뭐가 문제 야? 나를 볼 수 있다면이 대화의 스크린 샷을 가져 와서 Bug Reaprot에 업로드하십시오.
iria_elf.subnpc.portia.103	<npcportrait name='NONE'/><title name='NONE'/>
iria_elf.subnpc.portia_archer.1	글쎄, 그들 사이의 우정을 유지합시다. <button title='끄덕' keyword='@end'/>
iria_elf.subnpc.portia_archer.2	배가 곧 도착할 것이고, 수비대가 더 많이 될 때까지 서둘러 요. <button title='계속' keyword='@hire'/>
iria_elf.subnpc.portia_archer.3	또한 경비 대장을 피하는 것이 가장 좋습니다.
iria_elf.subnpc.portia_archer.4	아! ! 너?
iria_elf.vena.120	졸졸… 졸졸… 바람이 분다아~. |어른이 되고 싶다고 생각하고 있는 것은 아이만. |어떤 때도, 소망이 있으면 살아 갈 수 있는 걸. |사각사각… 사각사각… 모래의 알~. |햇빛이 떨어지면, 뭔가 블루가 되지 않아? |그렇다면… 나라도 레이디야. 다이어트 정도 한다―. |이 나의 사랑스러움… 말로는 표현 할 수 없지요? |아… 풀의 얼룩이 붙어 버렸다아…. |모래 먼지가 눈에 들어와 버렸어? |어? 지금, 캉가루 쥐가 1마리 통하지 않았어? |치즈 케이크? 그러한 살찌는 음식은… 싫은… 이 아니지만… 무─. |네? 역시, 내가 엘프라고 알아 버려? |청춘인가… 나에게도 그런 때가 있었군…. |레이디에게 나이를 묻는 것은 실례가 아니야? |응―… 털끝에서도 가지런히 해 볼까나…. |날씨가 나쁘면 기분도 블루가 되네요…. |'젊은은 희망에 살아 늙음은 추억에 산다'라는 말도 있지 않아? |근, 데. 이런 포즈는 어때? |
iria_elf.vena.121	(말이 통하지 않는 것 같다.)
iria_elf.vena.122	<npcportrait name='NONE'/><title name='NONE'/>햇빛의 빛을 받은 꽃잎과 같이<br/>그늘 1개 없는 밝은 웃는 얼굴. <br/>꿈꾸는 것 같은 맑은 눈동자가, 붉은 빛을 띤 자수정색에 빛난다. <button title='계속한다' keyword='@continue'/>
iria_elf.vena.123	Hi! 건강? <username/>! <br/>콘누스에 어서 오십시오! <br/>환영의 표로서… 하이! 이것. 받아. <br/>연습용의 쇼트보우야! <button title='계속한다' keyword='@gogo'/>
iria_elf.vena.124	다이죠브다이죠브! 물론 화살도 주기 때문에. <br/>하이. 충분히 사용할 수 있도록 200개! <br/>만약 부족하게 되면, 어린 회색 armadillo를 넘어뜨리면<br/>화살이 손에 들어 오니까요. <button title='계속한다' keyword='@gogo'/>
iria_elf.vena.125	… 그럼. 이야기는 이 정도로 해. <br/>슬슬, 여기서 살아가기 위한 노하우를 가르쳐 준다. <p/>그러면, 조속히. 내가 조금 전 준 활과 화살, 있네요? <br/>그것을 사용해, 이 근처에 있는 어린 회색 armadillo를<br/>3마리만 사냥해 봐! 하이, Let's go!
iria_elf.vena.126	… 아. 혹시 가방의 내용, 가득하지 않아? <br/>가방안을 정리하면, 또 말을 걸어. <br/>그랬더니, 활을 주기 때문에.
iria_elf.vena.127	모르는 것이 있으면<br/>사양하지 않고 뭐든지 들어!
iria_elf.vena.128	그런데… 내가 가르칠 수 있는 것은 코코까지. <br/>상당히 한번에 가르쳐 버렸지만… 괜찮았어? <br/>뭐, 모르는 것이 있으면, 뒤는 아이리에 들어 봐. <br/>/ 키를 누르면, 언제라도 아이리를 호출할 수 있기 때문에. <p/>
iria_elf.vena.129	지금부터 가는 곳은, 사막에 있는<br/>필리아라고 하는 엘프의 마을이다. <br/>지금 보고 있는 화면에서 위 쪽에 향해 진행되면,<br/>엘프의 마을에 가는 작은 골짜기가 보일 것이야. <p/>
iria_elf.vena.130	필리아에게 도착하면, 카스타네아의 곳에 가,<br/>나오로부터 받은 소개장을 보이면 OK! <br/>그리고는, 카스타네아가 보살펴 주기 때문에. <p/>그러면, 엘프의 마을에 가도 건강해 말야!
iria_elf.vena.131	엘프의 인생은 장~있고의. <br/>천천히 1일을 즐기면 좋지 않아. 저기?
iria_elf.vena.132	웨나와의 회화를 끝냈다.
iria_elf.vena.133	모르는 것이 있으면<br/>사양하지 않고 뭐든지 들어!
iria_elf.vena.134	지금까지 한 것이 없는 것을 트라이 하는 것도 좋아! <br/>다른 엘프들과도 사이 좋게, 즐겁게 모험해 봐! <p/><npcportrait name='NONE'/><title name='NONE'/>웨나와의 회화를 끝냈다.
iria_elf.vena.135	아! 조금 기다렸다앗!! <br/><username/>… 당신, 아직 나에게<br/>배워야 할 것이 있는 것이 아니야? <br/>여기서 대충 배워 두지 않으면, 뒤가 대단하야?
iria_elf.vena.136	<button title='퀘스트를 계속한다' keyword='@gogo'/><button title='단념해, 엘프의 마을에 향한다' keyword='@cancelquest'/>
iria_elf.vena.137	… 코코로부터 나오면 이제 돌아와지지 않은, 이라는 것은<br/>알고 있네요? <br/>… 아무래도라고 말한다면 나는 멈추지 않지만. <button title='단념해, 엘프의 마을에 향한다' keyword='@cancelquest'/><button title='퀘스트를 계속한다' keyword='@gogo'/>
iria_elf.vena.138	그리고, 하이. 이것. <br/>사막의 뜨거운 햇빛으로부터 몸을 지키는 로브야. <br/>사랑스럽지요?
iria_elf.vena.139	후~~… 이제(벌써) 작별인가…. 외롭지만, 어쩔 수 없다. <br/>그러면, 마지막에 이것도 준다. <br/>사막의 뜨거운 햇빛으로부터 몸을 지키는 로브야. <br/>사랑스럽지요?
iria_elf.vena.140	사막의 열로부터 몸을 지키기 위한 로브를 주려고 생각했지만…<br/><username/>, 짐을 가득해 가질 수 없는 것 같다.
iria_elf.vena.141	사막의 열로부터 몸을 지키기 위한 로브를 주려고 생각했지만…<br/><username/>, 짐을 가득해 가질 수 없는 것 같다.
iria_elf.vena.142	… 는, 정말, 신체에는 충분히 조심해. <br/><username/>만의 모험, 즐겨 와. <br/><button title='종료' keyword='@gogo'/>
iria_elf.vena.143	다시 또 보자!
iria_elf.vena.144	응응. <br/>사막 빨고 있으면 상처를 입는다~! <br/>응은, 좀 더 지도 계속할까.
iria_elf.vena.145	Hi! 나의 이름은 웨나! <p/>네? 몇개인가는? <br/>조금… 여성에게, 게다가 첫대면의 상대에게<br/>갑자기 나이를 묻는 것은 실례가 아니야? |나의 이름은 웨나. <br/>어때? 좋은 이름이겠지? |나, 어렸을 적, 주위의 모두로부터<br/>요정같이 사랑스럽다! … 라고 말해지고 있던 것이다. <br/>그리고, 어느 날 문득 거울을 보고 생각했어! <br/>「나, 역시 인간으로 해서는 너무 귀엽다!!」는. <p/>…… 무엇? 뭔가 말 있던 것 같지 않아? <p/>…… 뭐, 아니오. <br/>그리고, 「혹시, 나의 정말의 부모님은<br/>엘프인 것일지도 모른닷!」라고 생각한 나는,<br/>생이별이 된 가족을 찾기에, 여행을 떠났어! <p/>… 가득, 가득 여행을 했다. <br/>그리고, 눈치채면 코코, 콘누스에 가까스로 도착해…<br/>그들, 엘프들의 곁에서 사는 것으로 했어. <br/>그런데? 저기? 뭔가 드라마틱하지 않아!? |… 피온과 틴의 것은 알고 있지만,<br/>특히 코멘트는 없구나…. <p/>아, 그렇다. <br/>내가 여기서 염색 앰플 나눠주고 있기 때문이라는<br/>카레라와는 함께라고 생각하지 말아줘!? <br/>나에게는, 나만의 색, 나만의 스타일이 있기 때문에!
iria_elf.vena.146	응… 옛날은 그라니테스 같은<br/>예쁘다계의 사내 아이를 좋아했었어지만…<br/>최근에는―… 어른이 되었기 때문일까. <br/>조금 기호도 바뀐 것이다. <p/>나이는 말해 버리고 있지만, 가타이가 좋아서…<br/>넓은 가슴… 긴장된 다리… 응─… 억지로 말한다면,<br/>Hegel같은 스타일을 좋아하는가. |필리아의 아트라타는. <br/>확실히 매력은 있어? <p/>그렇지만, 인생의 선배로서 한 마디 말하게 해 받으면<br/>물기를 띤 눈동자라든지… 덧없는 올라,<br/>정말의 레이디의 매력이 아니라고 생각한다. <p/>뭐, 팍 보고 「내가 지키지 않으면!」라고 생각할지도 모르지만,<br/>길게 교제해 간다면, 좀 더 자립한 레이디가 아니면! <br/>그 점, 나라면 자립해 있고, 이 대로 사랑스럽고. <br/>마음씨도 좋아서 애교도 있다! 후훅. 완벽하겠지?
iria_elf.vena.147	스킬, 1개 정도는 기억해 두면 좋아. <br/>언젠가 도움이 되는 날이 올 것이니까.
iria_elf.vena.148	그라니테스? 잡화상 하고 있는 그군요. <br/>아무튼… 그 나름대로 큐트하지 않아?
iria_elf.vena.149	최근에는 런치를 먹는 것도 귀찮은 때가 있어…. <br/>그렇지만, 뭐, 살아가기 위해서는 뭔가 먹지 않으면 안 되고. <br/>그러한 의미에서는, 식료품점은 필수지요.
iria_elf.vena.150	신체의 상태가 좋지 않으면,<br/>치료자에 치료해 받으면 좋지만…<br/>하트가 아플 때는 어떻게 하면 좋겠지?
iria_elf.vena.151	여관… 카아~……. <br/>여관이군요…… 여관……<p/>……<p/>이 근처로는 외관 없구나.
iria_elf.vena.152	아. 나도 아스킨 은행에 계좌 가지고 있다~. <p/>…… 무엇? 그 의외일 것 같은 얼굴……. <br/>내가 모두에게 주고 있는 선물,<br/>전부 코코에 보관할 수 있을 이유 없지요?
iria_elf.vena.153	수면 부족은 피부의 강적이야! <br/>모험에 몰두하는 것도 좋지만,<br/>분명하게 적당히 수면도 취하지 않으면! <br/>다이어트에도 효과 있는 것 같기도 하고.
iria_elf.vena.154	원거리 공격도 근거리 공격도<br/>하나의 생명을 빼앗는 것에는 변함없어. <br/>그것을 잊지 말아줘.
iria_elf.vena.155	활…? <br/>그것을 여기서, 나에게 묻는 거야? <br/>정해져 있지 않아! <br/>멀리서 화살을 날리는 원거리 공격의 무기겠지?
iria_elf.vena.156	방직? <br/>그런 것 배워 어떻게 하는 거야?
iria_elf.vena.157	네? 채집? <br/>… 진심으로 묻고 있는 거야?
iria_elf.vena.158	마을 마다 광장 1개 정도는 있는 것이 아니야?
iria_elf.vena.159	티르나노이? <br/>…들은 것 없구나. <br/>어쩐지 굉장한 비밀이 있을 듯 하네!
iria_elf.vena.160	마비노기……. <br/>그 말을 들으면, 무의식 중에<br/>시를 중얼거리고 있는 것이 있다. <br/>… <username/>도, 그런 일은 없어?
iria_elf.vena.161	수를 모아 두는 곳이군요. <br/>이 근처로는 보이지 않지만….
iria_elf.vena.162	보리나 밀을<br/>재배하는 곳이겠지?
iria_elf.vena.163	풍차의 날개는… 풍차를 닮아있네요?
iria_elf.vena.164	아데 리어강…? 응…들은 것 없구나. <br/>르트라강이라면, 콘누스에 있는 강이지만.
iria_elf.vena.165	촌장이네…. <br/>마을에서 제일 훌륭한 사람의 것이군요.
iria_elf.vena.166	성당은 너무 조용해…. <br/>나의 취미가 아닐까.
iria_elf.vena.167	학교 같은 곳이 재미있을 이유 없지요?
iria_elf.vena.168	젊을 때에, 1회 정도는<br/>경험해 두는 편이 좋은 것이 아니야?
iria_elf.vena.169	캠프 쉐어링 하고 싶구나…. <br/>최근, 이런 곳으로 모닥불 피우는 사람도 없으니까….
iria_elf.vena.170	응… 특히 히이키의 숍은 없구나. <br/>좋은 곳 있으면 가르쳐.
iria_elf.vena.171	역시, 비싼 옷은 다르다. <br/>옷감이라든지 강도라든지… 차이가 나는 걸.
iria_elf.vena.172	스태미너를 보충해 주는 스킬의 것이겠지?
iria_elf.vena.173	류트? <br/>현악기의 저것?
iria_elf.vena.174	응? 이 나에게 뭔가 선물 주는 거야?
iria_elf.vena.175	… 면…. |거짓말…! 이 내가 모르는 것이 있다니……! 장수 하는 것이구나―. |… 흥미없으니까. |어? 지금, 캉가루 쥐가 1마리 통하지 않았어? |날씨가 나쁘면 기분도 블루가 되네요…. |햇빛이 떨어지면, 뭔가 블루가 되지 않아? |사각사각… 사각사각… 모래의 알~. |졸졸… 졸졸… 바람이 분다아~. |응―… 털끝에서도 가지런히 해 볼까나…. |근, 데. 뭔가 재미있는 것 없어?
iria_elf.vena.176	또 만날 수 있었군요. … 알고 있다. 전생 해 온 것이겠지? <br/>그러면, 전생 기념이라는 것으로, 선물을 1개준다. <br/>쟈쟈~! <br/>지정의 색에 물들여지는, 색지정 염색 앰플이야! <p/>…… 뭔가 반응 얇지 않아? <p/>…… 뭐, 아니오. <br/>어쨌든, 지금부터 10개, 차례로 보이기 때문에,<br/>마음에 든 것이 있으면 선택해. <br/>끝까지 선택하지 않았으면, 내가 마음대로 선택해 버리니까요.
iria_elf.vena.177	아. 그러고 보면 일전에, 염색 앰플<br/>선택할 수 없었잖아? <br/>그 때 본 것을 제외해, 나머지의 분을 보여 준다. <br/>확실히,{0}개째까지 보았네요? 그러면, 그 다음으로부터 보여?
iria_elf.vena.178	번째의 염색 앰플을 받지 않으면 안 된다.
iria_elf.vena.179	번째의 염색 앰플을 받을 단계
iria_elf.vena.180	<image item='63030' col1='{0}'/><br/>네. 어때? 이 색.
iria_elf.vena.181	<button title='응, 그래서' keyword='@ok'/><button title='다르므로…. ' keyword='@No'/>
iria_elf.vena.182	<image item='63030' col1='{0}'/><br/>그러면, 이 색은? <br/>좋은 색이라고 생각하지만.
iria_elf.vena.183	<button title='응, 그래서' keyword='@ok'/><button title='다르므로…. ' keyword='@No'/>
iria_elf.vena.184	웨나로부터 색지정 염색 앰플을 받았습니다.
iria_elf.vena.185	아. 뚱뚱이 캣이 아니다. <br/>당신에게는 신세를 졌고…1개 준다.
iria_elf.vena.186	그것으로 좋아? <br/>그러면, 예쁘게 염색해.
iria_elf.vena.187	<image item='63030' col1='{0}'/><br/>이것이 최후! <br/>이제 선택할 수 있는 것 없기 때문에, 이것으로 만족해? <br/>
iria_elf.vena.188	웨나로부터 색지정 염색 앰플을 받았습니다.
iria_elf.vena.189	아. 뚱뚱이 캣이 아니다. <br/>당신에게는 신세를 졌고…1개 준다.
iria_elf.vena.190	아. 그리고, 이 책도 가져 가. <br/>나오로부터 매번, 여러가지 선물 받겠죠? <br/>그것을 버리지 않고, 이 책에 전부 콜렉션 하면<br/>나오로부터 특별한 선물을 받을 수 있을 것이야.
iria_elf.vena.191	아. 좋은 책을 1권 주려고 생각했지만<br/>목록이 가득 같다. 흠…. <br/>그러면, 다음의 전생때에 건네주네요.
iria_elf.vena.192	vena.mint ::DyingAmpul() 특수 칼라
iria_elf.vena.193	vena.mint ::DyingAmpul() 일반 칼라
iria_elf.vena.194	아… 역시 이것이군요. 그렇지 않을까 생각했다. <br/>나는 상당히 캔이 좋다. |땡큐. <br/>의외로 센스가 있지 않아. |오늘은 무엇인가, 여러가지 선물 받는구나…. <br/>뭔가의 기념일이던가?
iria_elf.vena.195	에린의 수호자!? <br/>…. 칵코위이…. <p/>…. 이런 칭찬을 기대한 것일 것이다?
iria_elf.vena.196	원! … 깜짝 놀랐다아~! <p/>알고 있다. <username/>(이)겠지? <br/>네? 무엇으로 이름을 알고 있을까라는? <br/>후훅… 그것은 비밀.
iria_elf.vena.197	어때? 이 근처의 산책은 끝났어?
iria_elf.vena.198	어? 또 당신?
iria_elf.vena.199	<username/>, 슬슬 다른 곳에 가 보면 어때? <br/>좀 더 넓은 세계가<username/>의 것을 기다리고 있다.
iria_elf.vena.200	…. <username/>, 코코에 쭉 있는 것 질리지 않아? <br/>슬슬 좀 더 넓은 곳에 가 보는 것도 좋다고 생각하지만….
iria_elf.vena.201	퀘스트의 수행중, 잘 모르는 것이 있으면<br/>언제라도 나의 곳에 들으러 와. <button title='종료' keyword='@end'/><button title='다른 이야기를 한다' keyword='@cancel'/>
iria_elf.vena.202	<button title='활은 어떻게 사용하면? ' keyword='@help_250008'/>
iria_elf.vena.203	<button title='지형을 변화시키려면? ' keyword='@help_250009'/>
iria_elf.vena.204	<button title='석벽은 어디에? ' keyword='@help_250010'/>
iria_elf.vena.205	<button title='석상은 어디에? ' keyword='@help_250011_0'/><button title='스케치는 어떻게? ' keyword='@help_250011_1'/>
iria_elf.vena.206	<button title='석상 조각은 어떻게? ' keyword='@help_250012'/>
iria_elf.vena.207	<button title='L로드의 사용법은? ' keyword='@help_250013'/>
iria_elf.vena.208	그 밖에 알고 싶은 것은 없어? <br/>그러면, 다시 또 보자! <p/><npcportrait name='NONE'/><title name='NONE'/>웨나와의 회화를 끝냈다. <button title='종료' keyword='@hanstone'/>
iria_elf.vena.209	낡은 석벽의 것? <br/>그렇다면, 지금 보고 있는 화면에서 위 쪽에 향해<br/>정확히 200 m 정도간 앞에 있어. <p/>
iria_elf.vena.210	이런 느낌의 석벽인 것이지만…. <br/>벼랑에 따라 진행되자, 곧 발견된다고 생각한다.
iria_elf.vena.211	석상은 조금 전의 석벽의 근처야. <br/>지금 보고 있는 화면에서 위 쪽에 향해 진행되어 가면,<br/>곧 발견될 것이니까.
iria_elf.vena.212	조금 전 스케치 한 석상으로부터<br/>석상의 조각을 채집할 수 있다. <p/>
iria_elf.vena.213	석상의 조각을 채집하고 싶으면,<br/>맨손 상태로, 맨손으로 석상을 클릭 하면 좋은 것뿐. <br/>Tab 키를 눌러, 장비를 바꾸는 편이 다양하게 편할지도. <p/>아. 그리고, 채집한 석상의 조각은 발밑에 떨어지기 때문에,<br/>주워 오는 것 잊지 말아줘?
iria_elf.vena.214	나는 웨나. <br/>당신, 코코는 처음이겠지? <br/>후훅. 괜찮아! <br/>내가 다양하게 가르쳐 준다.
iria_elf.vena.215	<button title='계속한다' keyword='@continue'/>
iria_elf.vena.216	실은, 빨리 엘프의 마을에 가<br/>여러가지 해 보고 싶다고 생각하고 있는 것이 아니야? <br/>그렇지만, 사물은 순번이 중요! <br/>우선은, 여기서 나부터 기본적인 것을 배우는 것이 앞!
iria_elf.vena.217	그러면, 우선은<br/>코코를 탐험하는 방법때문인지.
iria_elf.vena.218	코코… 이리아는, 여러 가지 비밀이 숨겨져 있는 신비적인 대륙. <br/>모에해를 건너 온 인간들과… 당신같이,<br/>소울 스트림을 다녀 온 엘프들이 서로 협력해<br/>여기저기를 여행하면서, 여러 가지 유물을 발견하고 있는 장소다. <p/>여기서의 생활의 필수품에 대해서는, 또 다음에 설명한다고 해…<br/>우선, 탐험에 대해 가르쳐 준다. <p/>엘프의 마을에서는, 다른 엘프 서에<br/>탐험을 의뢰하는 게시판이 있다. <br/>퀘스트 보드라고 하지만, 거기서<br/>다른 엘프들로부터의 탐험 의뢰를 받게 된다. <p/>나의 근처에 있는 수정은, 그 퀘스트 보드를<br/>흉내는 만든 것으로…<br/>한 번 수정을 클릭 해 보면 알지만,<br/>클릭 하면 퀘스트를 받는 것이 생긴다. <p/>아. 퀘스트를 받아도 잘 모르는<br/>것이 있으면, 사양말고 나에게 들어. <p/>그리고, 만약 퀘스트를 멈추어, 엘프의 마을에 가고 싶어지면,<br/>조금 전 내가 건네준 「엘프의 마을에 간다」의 키워드로<br/>나에게 말을 걸어.
iria_elf.vena.219	는, 스케치에 대해 가르쳐 준다. <br/>스케치는, 유물이나 동물을 그리는 스킬이야. <p/>
iria_elf.vena.220	OK! 그러면, 조속히 해 볼까. <p/>우선, 이 근처를 걸어… 그리고 싶은 것을 찾아 봐. <br/>스케치 하고 싶은 대상을 결정하면, 목록을 열어,<br/>도화지를 오른쪽 클릭 해 「사용한다」를 선택한 후,<br/>그리는 대상을 클릭 한다. 이것뿐이야. <p/>
iria_elf.vena.221	그림을 그리고 있는 도중, 스케치를 캔슬하고 싶을 때는,<br/>ESC 키를 누르는지, 스킬 풍선을 클릭 하면 좋아. <p/>그리고… 스케치 하는데, 하나하나 가방을 열어<br/>도화지를 사용하는 것이 귀찮으면, N키를 누르는지,<p/>화면아래의 「액션」버튼을 누르면 나오는 아크션윈드우로<br/>스케치 액션을 화면 위의 단축 윈드우에<br/>등록해 두어도 괜찮을지도. <p/>어때? 여기까지는 알았어? <button title='종료' keyword='@cancel'/><button title='설명을 한번 더' keyword='@cancel'/>
iria_elf.vena.222	콘누스의 사막에는<br/>마법으로 숨겨진 유물이 많이 있다. <br/>엘프의 사이의 전승에 의하면,<br/>고대 엘프들이 만든 유물인것 같지만…. <p/>
iria_elf.vena.223	L로드는, 유물을 숨기고 있는<br/>마법으로 반응하는 아이템이다. <p/>
iria_elf.vena.224	양손에 L로드를 가지고 걸어 다녀 보면 안다고 생각하지만,<br/>숨겨진 유물의 곁에 오면, 그 마법의 힘에 반응해<br/>L로드가 빛나, 소리가 운다. <br/>굉장히 옆에 있을 때는 4회! 4회음이 운다. <p/>잊지 말아줘? 좋아? 4회니까!? <p/>
iria_elf.vena.225	4회음이 울면, 거기서 X키를 눌러<br/>지면을 클릭 하면, 마법이 해제되어<br/>숨겨진 유물이 발견될 것이야. <p/>L로드를 사용하는 것도 액션의 하나이니까,<br/><hotkey name=\'ActionView\'/>키를 누르는지, 화면아래의 「액션」버튼을 누르면<br/>나오는 아크션윈드우로, 탐험 액션을<br/>화면 위의 단축 윈드우에 등록해 두어도 괜찮을지도. <br/>어때? 할 수 있을 것 같다? <button title='종료' keyword='@cancel'/><button title='설명을 한번 더' keyword='@cancel'/>
iria_elf.vena.226	엘프들만이 사용할 수 있는 특별한 장비를 가져<br/>지형 변화 스킬을 사용하면,<br/>사막의 지형을 변화시키는 것이 생긴다. <br/>조금 해 볼까? <p/>그러면, 우선은 사막에 가, 화면아래에 있는<br/>액션 버튼을 눌러 봐. <p/>나온 아크션윈드우에 있는<br/>지형 변화 스킬 버튼을 누르면,<br/>좋아하는 곳을 클릭! <br/>… 그렇다면, 지면이 베콘은 패인다. <p/>지형 변화 스킬을 사용해 모래를 없애면<br/>메워지고 있었던 아이템을 GET 할 수 있을까<br/>나타난 유물로부터 아이템을 채집할 수 있지만…<p/>유감스럽지만, 코코의 사막에는 아이템이라든지 유물이라든지는 메워지지 않으니까. <br/>우선 여기에서는, 지형 변화 스킬의 연습만 해,<br/>실천은 코코를 나오고 나서 시험해 봐. <button title='종료' keyword='@cancel'/><button title='설명을 한번 더' keyword='@cancel'/>
iria_elf.vena.227	활과 화살을 가져 적을 클릭 하면,<br/>타겟… 겨눌 수가 있다. <br/>타겟 하면, 자신의 두상에 조준율을 나타내는<br/>숫자가 나와. <p/>그리고는, 그 조준율이 높아지는 것을 기다려…<br/>높아지면, 또 적을 클릭! <br/>그러면, 2개의 화살을 단번에 날릴 수 있다. <p/>
iria_elf.vena.228	어린 회색 armadillo는 신체가 작기 때문에,<br/>마우스로 클릭 하기 어려울지도. <p/>만약 하기 어려웠으면, Ctrl 키를 누른 상태로<br/>적을 왼쪽 클릭 하면, 자동적으로<br/>타게팅 할 수가 있다. <button title='종료' keyword='@cancel'/><button title='설명을 한번 더' keyword='@cancel'/>
iria_elf.vena.229	<npcportrait name='Vena'/><title name='웨나'/>
iria_elf.vena.230	<p/><npcportrait name='Vena'/><title name='웨나'/>
iria_elf.vena.231	<title name='웨나'/>… 응? 슬슬 엘프의 마을에 가는 거야? <br/>알았다. 그러면, 내가 나이스인 선물을 준다.
iria_elf.vena.232	<button title='계속한다' keyword='@hehehe'/>
iria_elf.vena.233	아이리
iria_elf.vena.234	<title name='웨나'/>여기서 다양하게 가르쳤지만…<br/>내가 가르쳤던 것은, 정말 기초의 기초이니까,<br/>코코를 떠난 뒤도, 아직도 가득 기억하는 것이 나온다고 생각한다. <p/>그러니까… 연습용의 쇼트보우 대신에, 이것을 준다. <br/>정령활이라고 말해, 가지고 있는 것만으로<br/>활에 머무는 정령과 회화를 할 수 있다. <p/>
iria_elf.vena.235	<title name='웨나'/>라고는 해도, 지금부터 쭉<br/>그 정령과 함께 있을 수 있는 것이 아니지만 말야. <br/>뭐, 에서도, 당신이 어느 정도 필리아의 생활에 익숙할 때까지는<br/>함께 있을 수 있다고 생각하기 때문에, 사이좋게 지내 줘. <p/>
iria_elf.vena.236	<title name='웨나'/>정령의 이름은 아이리. <br/>/ 키를 누르는지, I키로 목록을 열어<br/>정령활을 오른쪽 클릭 해 「회화한다」를 선택하면<br/>그녀와 이야기를 할 수 있다. <p/>
iria_elf.vena.237	<title name='웨나'/>는, 아이리와 사이 좋게. <br/>너무 곤란하게 하는 것 같은 것은 하지 말아요? <button title='닫는다' keyword='@hellene'/>
iria_elf.vena.238	<title name='웨나'/>응―… 나이스인 아이템 주고 싶은 것이지만,<br/>목록이 가득 같다. <br/>손에 가지고 있는 것을 전부 정리하고 나서<br/>한번 더 나에게 말을 걸어 주지 않겠어?
iria_elf.vena.239	웨나가 로그인했습니다.
iria_elf.vena.240	그런데… 내가 가르칠 수 있는 것은 코코까지. <br/>상당히 한번에 가르쳐 버렸지만… 괜찮았어? <br/>뭐, 모르는 것이 있으면, 뒤는 아이리에 들어 봐. <br/><hotkey name='EgoWeapon'/>키를 누르면, 언제라도 아이리를 호출할 수 있기 때문에. <p/>
iria_elf.vena.241	그림을 그리고 있는 도중, 스케치를 캔슬하고 싶을 때는,<br/>ESC 키를 누르는지, 스킬 풍선을 클릭 하면 좋아. <p/>그리고… 스케치 하는데, 하나 하나 가방을 열어<br/>도화지를 클릭 하는 것이 귀찮으면,<hotkey name='ActionView'/>키를 누르는지,<p/>화면아래의 「액션」버튼을 누르면 나오는 아크션윈드우로<br/>스케치 액션을 화면 위의 쇼트 컷에<br/>등록해 두어도 괜찮을지도. <p/>어때? 여기까지는 알았어? <button title='종료' keyword='@cancel'/><button title='설명을 한번 더' keyword='@cancel'/>
