iria_human.heulfryn.1	[0]포션
senmag.fleta.117	목걸이 가져와 준 것이다. <br/>흥, 이것이라면 당분간은 마음대로 도망치기 시작할 수 없네요. <p/>그러면, 답례에 스킬 북을 살 수 있는 티켓을 주어요. <br/>이것은, 우리 도서관에 있던 것이야. <p/>나는 별로 흥미없지만<br/>만약 흥미가 있다면 보면 좋아요.
senmag.fleta.118	목걸이를 가져와 준 것은 좋지만…. <br/>당신, 더 이상 물건을 가질 수 없잖아. <p/>정말 확실히 하세요. <br/>평소부터 짐을 정리하는 버릇은 붙이는 것이 좋아요.
senmag.fleta.119	필요한 것이 있다면 빨리 사세요. <br/>티켓 1매로 1회 밖에 보이지 않기 때문에<br/>어쨌든 빨리 사세요.
senmag.fleta.120	[0]의상
senmag.fleta.121	;[1]고급의상
senmag.fleta.122	;[2]옷본
senmag.fleta.123	;[3]특수옷본
senmag.fleta.124	;[4]도면
senmag.fleta.125	;[5]신발장갑
senmag.fleta.126	;[6]모자
senmag.fleta.127	;[7]스킬북
senmag.fleta.128	<title name='NONE'/>(후렛타에 목걸이를 건네주었다)<p/>고마워요, 수고했어요~! <br/>이것으로 하면, 당분간은 도망칠 수 있는 일 없이 괜찮겠지! <p/>그러면, 목걸이를 가지고 와 준 답례에<br/>몇권이나 스킬 북을 살 수 있는<br/>티켓을 준다. <p/>집의 도서관에서 눕고 있었던 것이지만 말야…<br/>던바튼에 있는 마누스라는 사람에게 가지고 가 봐. <br/>나는 필요하지 않지만, 당신에게는<br/>상당히 도움이 될지도야~!
senmag.fleta.129	이것은…<p/><title name='NONE'/>(후렛타에 빈 보물상자를 전부 가지고 돌아가셨다)<p/>당신…, 연 것이겠지? <br/>덕분으로 안에 들어가고 있었던 아이들이 전부 도망쳐 버렸지 않아! <p/>최초부터 열려 있었어? <br/>정말로? <p/>저 녀석은 정말로 아무것도 할 수 없기 때문에…<br/>이것도 운명이군요, 도와줘. <p/>요정들이 좋아하는 향신료,<br/>밤에 빛나는 꽃,<br/>천사가 기르는 약초. <p/>몰라? <br/>이 상자에 채우는 물건이야. <br/>준비하지 않으면 안 되니까. <p/>, 빨리 갔다와! <br/>여기에서 제일 가까운 도시에 가면 좋아요. <br/>분수가 있어, 흰 성이 있는 곳. <br/>빨리 가지고 와 줘! 기다리고 있어 주기 때문에.
senmag.fleta.130	어떤 것. <p/><title name='NONE'/>(후렛타에 물건을 건네주었다)<p/>응, 분명하게 가지고 온 거네. 대단해요! <p/>그러면, 이것으로…<p/><npcportrait name='NONE'/><title name='NONE'/><image name='mini_fleta_jewelbox01'/>(후렛타는 상자를 열어, 그 중에 재료를 넣었다)<p/><npcportrait name='NONE'/><title name='NONE'/><image name='mini_fleta_jewelbox02'/>(후렛타가 중얼거리도록 주문을 말하면<br/>어디에선가 반디와 같은 빛의 덩어리가 모이기 시작했다)<p/>좋아… 할 수 있었다! <br/>결국, 이렇게 해 돌아오는 주제에<br/>언제나 상자마다, 도망쳐 버리기 때문에. <p/>아! 조금 전 준 티켓은 이것의 답례! <br/>던바튼에 있는 서점에 가져 가면,<br/>스킬 북을 살 수 있어요! <p/>집의 책으로부터 나왔지만,<br/>나는 필요하지 않기 때문에 가져 가. <br/>당신에게는 상당히 도움이 될지도 말야!
senmag.fleta.131	재료는 가지고 왔어? <br/>조금~, 가방 정도 정리하면? <br/>답례하고 싶어도<br/>비어 있는 곳이 없으면, 줄 길이 없지요! <p/>모처럼 답례하려고 생각하고 있는데 필요하지 않은거야? <br/>정리해 또 오세요!
senmag.fleta.132	목걸이를 누가 만들까라는? <br/>~, 대장간등으로 들어 보면?
senmag.fleta.133	상자에 넣는 물건? <p/>요정들이 좋아하는 향신료,<br/>밤에 빛나는 꽃,<br/>천사가 기르는 약초. <p/>아마, 그것을 팔고 있는 사람은 알고 있겠죠. <br/>가까이의 도시라도 가르쳐 주었기 때문에,<br/>나머지는 자력으로 어떻게든 해!
senmag.fleta.134	…<p/>개 1권에 집착 하는 인간이란… 풋.
senmag.fleta.135	어머나? 당신 그 솜사탕,<br/>바보 젝카이양으로부터 손에 넣었지 않아? <br/>그 솜사탕을 몇개인가 가져오면,<br/>내가 솜사탕으로부터 실을 뽑아 옷을 만들어 주어요. <br/><button title='만들어 받는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.136	어떤 것을 갖고 싶은거야? <br/>어떤 것을 만들까로 필요한 솜사탕이 달라지기 때문에<br/>먼저 이 중에서 선택해. <br/><button title='라빗트반드' keyword='@rabbit_headband1'/><button title='별의 라빗트반드' keyword='@rabbit_headband2'/><button title='가죽의 라빗트반드' keyword='@rabbit_headband3'/><button title='라빗트한드' keyword='@rabbit_hand'/><button title='라빗트훗트' keyword='@rabbit_foot'/><button title='라빗트옷' keyword='@rabbit_clothes'/>
senmag.fleta.137	라빗트반드를 만들려면<br/>흰색 솜사탕, 주홍색 솜사탕, 남색엿이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.138	좋아요. <br/>라빗트반드를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <br/>집중시켜 주면 내구도의 높은 것을 만들 수 있을지도 모른다. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.139	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>흰색 솜사탕, 주홍색 솜사탕, 남색 솜사탕이야.
senmag.fleta.140	-응, 옷보다 먹는 편을 좋아하는. <br/>싫으면 어쩔 수 없어요.
senmag.fleta.141	별의 라빗트반드를 만들려면<br/>빨강 솜사탕, 황색 솜사탕, 파랑 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.142	좋아요. <br/>별의 라빗트반드를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <br/>집중시켜 주면 내구도의 높은 것을 만들 수 있을지도 모른다. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.143	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕, 황색 솜사탕, 파랑 솜사탕이야.
senmag.fleta.144	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.145	가죽의 라빗트반드를 만들려면<br/>주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.146	좋아요. <br/>가죽의 라빗트반드를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.147	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕이야.
senmag.fleta.148	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.149	라빗트한드를 만들려면<br/>흰색 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 남색 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.150	좋아요. <br/>라빗트한드를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.151	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>흰색 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 남색 솜사탕이야.
senmag.fleta.152	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.153	라빗트훗트를 만들려면<br/>빨강 솜사탕, 주홍색 솜사탕, 초록 솜사탕, 파랑 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.154	좋아요. <br/>라빗트훗트를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.155	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕, 주홍색 솜사탕, 초록 솜사탕, 파랑 솜사탕이야.
senmag.fleta.156	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.157	라빗트옷을 만들려면<br/>빨강 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕,<br/>파랑 솜사탕, 남색 솜사탕, 보라색 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.158	좋아요. <br/>라빗트옷을 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.159	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕,<br/>파랑 솜사탕, 남색 솜사탕, 보라색 솜사탕이야.
senmag.fleta.160	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.161	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.162	그 송편 맛있겠네. 내가 마법 송편 좋아하는 건 어떻게 알고... <br/>색색깔로 모아서 먹으면 더 맛있을 텐데. <br/>그 마법 송편, 무지개색으로 모두 모아서 나한테 주지 않을래? <br/>대신 내가 예쁜 옷을 만들어 줄게. <br/><button title='좋다' keyword='@Yes'/><button title='싫다' keyword='@No'/>
senmag.fleta.163	색깔별로 다 모아 왔네? <br/>좋아, 보답으로 이 아이템을 줄게. <br/>또 색깔별로 모아서 오면 다음 번엔 다른 걸 줄 지도 몰라.
senmag.fleta.164	흠... 자랑만 하고 주지는 않다니 못 됐구나. <br/>옷보다는 먹는 걸 더 밝히는 스타일인가 보네. <br/>싫으면 관둬. 다른 사람이 구해 주겠지.
senmag.fleta.165	어떤 것을 갖고 싶은거야? <br/>어떤 것을 만들까로 필요한 솜사탕이 달라지기 때문에<br/>먼저 이 중에서 선택해. <br/><button title='라빗트반드' keyword='@rabbit_headband1'/><button title='별의 라빗트반드' keyword='@rabbit_headband2'/><button title='가죽의 라빗트반드' keyword='@rabbit_headband3'/><button title='라빗트한드' keyword='@rabbit_hand'/><button title='라빗트훗트' keyword='@rabbit_foot'/><button title='라빗트옷' keyword='@rabbit_clothes'/><button title='할로윈 고스트 로브' keyword='@ghost_robe'/><button title='할로윈 마녀 로브' keyword='@witch_robe'/>
senmag.fleta.166	할로윈 고스트 로브를 만들려면<br/>빨강 솜사탕 3개, 주홍색 솜사탕 3개, 황색 솜사탕 3개, 초록 솜사탕 3개,<br/>파랑 솜사탕 3개, 남색 솜사탕 3개, 보라색 솜사탕 3개가 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다.. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.167	좋아요. <br/>할로윈 고스트 로브를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.168	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕 3개, 주홍색 솜사탕 3개, 황색 솜사탕 3개, 초록 솜사탕 3개,<br/>파랑 솜사탕 3개, 남색 솜사탕 3개, 보라색 솜사탕 3개야.
senmag.fleta.169	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.170	할로윈 마녀 로브를 만들려면<br/>빨강 솜사탕 3개, 주홍색 솜사탕 3개, 황색 솜사탕 3개, 초록 솜사탕 3개,<br/>파랑 솜사탕 3개, 남색 솜사탕 3개, 보라색 솜사탕 3개가 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다.. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.171	좋아요. <br/>할로윈 마녀 로브를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.172	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕 3개, 주홍색 솜사탕 3개, 황색 솜사탕 3개, 초록 솜사탕 3개,<br/>파랑 솜사탕 3개, 남색 솜사탕 3개, 보라색 솜사탕 3개야.
senmag.fleta.173	-응, 옷보다 먹는 편을 좋아하는. <br/>하고 싶지 않으면 어쩔 수 없어요.
senmag.fleta.174	벚꽃을 보러 왔어? <br/>-응… 그다지 시끄럽게 하지 않도록요.
senmag.fleta.175	어머나… 그 머리 치장…<br/>-응… 대단히 노력한 것 같구나. <p/>이 벚꽃은 누군가만을 위해서 피어 있는 것이 아니야. <br/>당신도 즐겨 가면 좋아요.
senmag.fleta.176	흠... 혹시 가방에 있는 그거 솜사탕 아냐? <br/>흥, 올해에도 솜사탕인가, 뭐 좋아. <p/>솜사탕을 색깔별로 모두 모아오면<br/>좋아할만한 걸로 바꿔줄게. <br/>나한테 왜 이런 걸 시키고, 정말 귀찮아. <br/><button title='좋아' keyword='@Yes'/><button title='싫어' keyword='@No'/>
senmag.fleta.177	벌써 다 모아온 거야? <br/>한참 걸릴줄 알았는데 보기와는 다른걸. <br/>자, 이거야. 잘 쓰도록 해.
senmag.fleta.178	솜사탕이 모자라잖아? <br/>여덟 종류를 다 모아오면 얘기해 줘.
senmag.fleta.179	뭐 괜찮아. <br/>나도 귀찮았던 참이니까.
senmag.fleta.180	어머나? 당신 그 솜사탕,<br/>바보 젝카이양으로부터 손에 넣었지 않아? <br/>그 솜사탕을 몇개인가 가져오면,<br/>내가 솜사탕으로부터 실을 뽑아 옷을 만들어 주어요. <br/><button title='만들어 받는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.181	어떤 것을 갖고 싶은거야? <br/>어떤 것을 만들까로 필요한 솜사탕이 달라지기 때문에<br/>먼저 이 중에서 선택해. <br/><button title='령이군요 개모자' keyword='@rabbit_headband1'/><button title='호랑이군요 개모자' keyword='@rabbit_headband2'/><button title='핀이군요 개모자' keyword='@rabbit_headband3'/><button title='고양이형 이어 머프' keyword='@rabbit_hand'/><button title='고양이귀카츄샤' keyword='@rabbit_foot'/><button title='도면' keyword='@rabbit_clothes'/>
senmag.fleta.182	령이군요 개모자를 만들려면<br/>흰색 솜사탕, 주홍색 솜사탕, 남색 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.183	좋아요. <br/>령이군요 개모자를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <br/>자, 할 수 있었어요. 소중히 사용하세요. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.184	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>흰색 솜사탕, 주홍색 솜사탕, 남색 솜사탕이야.
senmag.fleta.185	-응, 옷보다 먹는 편을 좋아하는. <br/>싫으면 어쩔 수 없어요.
senmag.fleta.186	호랑이군요 개모자를 만들려면<br/>빨강 솜사탕, 황색 솜사탕, 파랑 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.187	좋아요. <br/>호랑이군요 개모자를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <br/>자, 할 수 있었어요. 소중히 사용하세요. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.188	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕, 황색 솜사탕, 파랑 솜사탕이야.
senmag.fleta.189	-응, 옷보다 먹는 편을 좋아하는. <br/>어쩔 수 없네요.
senmag.fleta.190	핀이군요 개모자를 만들려면<br/>주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.191	좋아요. <br/>핀이군요 개모자를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용하세요. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.192	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕이야.
senmag.fleta.193	-응, 옷보다 먹는 편을 좋아하는. <br/>그러면, 마음대로 하면.
senmag.fleta.194	고양이형 이어 머프를 만들려면<br/>흰색 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 남색 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.195	좋아요. <br/>고양이형 이어 머프를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용하세요. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.196	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>흰색 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 남색 솜사탕이야.
senmag.fleta.197	-응, 옷보다 먹는 편을 좋아하는. <br/>싫으면 어쩔 수 없어요.
senmag.fleta.198	고양이귀카츄샤를 만들려면<br/>빨강 솜사탕, 주홍색 솜사탕, 초록 솜사탕, 파랑 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.199	좋아요. <br/>고양이귀카츄샤를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용해. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.200	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕, 주홍색 솜사탕, 초록 솜사탕, 파랑 솜사탕이야.
senmag.fleta.201	-응, 옷보다 먹는 편을 좋아하는. <br/>어쩔 수 없네요.
senmag.fleta.202	도면를 만들려면<br/>빨강 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕,<br/>파랑 솜사탕, 남색 솜사탕, 보라색 솜사탕이 필요해요. <br/>그 색의 솜사탕을 전부 모아 오면 만들어 준다. <br/><button title='맡는다' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.203	좋아요. <br/>도면를 만들기 위해서 집중하지 않으면 안 되기 때문에,<br/>조금 기다리고 있어. <p/>자, 할 수 있었어요. 소중히 사용하세요. <br/>솜사탕을 손에 넣으면 또 와.
senmag.fleta.204	필요한 솜사탕이 없어요? <br/>솜사탕을 손에 넣으면 또 말을 걸어. <br/>빨강 솜사탕, 주홍색 솜사탕, 황색 솜사탕, 초록 솜사탕,<br/>파랑 솜사탕, 남색 솜사탕, 보라색 솜사탕이야.
senmag.fleta.205	-응, 옷보다 먹는 편을 좋아하는. <br/>그러면, 마음대로 하면.
senmag.fleta.206	-응, 옷보다 먹는 편을 좋아하는. <br/>그러면, 마음대로 하면.
senmag.fleta.207	[7]이벤트
senmag.fleta.208	[7]이벤트
senmag.fleta.209	지금 이벤트 탭으로 콜렉션 북을 팔고 있기 때문에 한 번 보면?
senmag.fleta.210	무슨 용건…? <br/>여행을 하는 사람에게 이걸 주라고 하던데, 자 여기 있어. <br/>나도 다른 곳에 놀러가 볼까…<br/>틴 녀석도 잡아서 짐꾼으로 쓰면 좋을 것 같네.
senmag.fleta.211	스탬프와 행운권을 받기 싫은 거야? <br/>인벤토리를 비우고 다시 와.
senmag.fleta.212	러브에 주는 선물? <p/><title name='NONE'/>(후렛타에 모과의 볼을 건네주었다.)<p/>-응… 러브도 기뻐한다고 생각해요. <br/>이것은 러브가 어딘가로부터 가져온 것이지만,<br/>당신에게 필요한 것 같으니까 준다. <p/>
senmag.fleta.213	러브에 주는 선물? <p/><title name='NONE'/>(후렛타에 모과의 볼을 건네주었다.)<p/>조금 늦었지만… 이 정도라면 나쁘지 않아요…. <p/>
senmag.fleta.214	눈의 덩어리와 열매를 가져왔군요. <br/>이것으로 써 얼음을 먹을 수 있어요. <br/>금방 모자와 교환 해 준다. <button title='네' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.215	당신도 써 얼음을 먹고 싶은거야? <br/>싫으면 좋아요. 다른 사람이 가져와 주고.
senmag.fleta.216	아, 덥다…. 감 얼음을 먹고 싶어요. <br/>자이언트의 마을의 남쪽과 니시노지역에<br/>눈의 덩어리가 떨어지는 장소가 몇개인가 있어. <br/>이 그릇을 주기 때문에 눈의 덩어리를 가득 모아 열매와 함께 가져와 받을 수 있어?
senmag.fleta.217	눈의 덩어리와 열매를 가져왔군요. <br/>이것으로 써 얼음을 먹을 수 있어요. <br/>금방 새로운 패션 아이템과 교환 해 준다. <button title='네' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.fleta.218	눈의 덩어리와 열매를 가져왔군요. <br/>또 써 얼음을 먹을 수 있어요. <br/>그렇지만 지금부터는 내가 기분이 내키면 아이템을 교환 해 주어요. <br/>운이 조금 필요하게 되어요. <button title='네' keyword='@Yes'/><button title='그만둔다' keyword='@No'/>
senmag.subnpc.rab.1	왕왕|원|쿠|………|…|…
senmag.subnpc.rab.2	<title name='NONE'/>(러브가 하늘의 식기를 내몄다.)<p/>바우! (이 하늘의 식기를 봐요!)<br/>왕왕! (굉장히 배가 고픈!)<p/>왕왕 원~, 쿠우~, 바우, 원! (맛있는 것을 먹고 싶다!)<br/>원, 아우, 아우~. (주인님은 무엇을 먹고 싶은 것인지 알고 있는 주제에, 귀찮음이는 주지 않다.)<p/>바우바우! (이 하늘의 식기를 씹을 수 밖에 없는 것인지!)<br/>바우바우바우! (짖는 것도 지쳤기 때문에, 이 식기를 너에게 준다!)<p/>쿠~~(이 하늘의 식기를 볼 때에)<br/>쿠우우~~! (내가 맛있는 밥을 먹을 수 있도록 빌어요!)
senmag.subnpc.rab.3	쿠우우~. (좋구나…. 너는 뭔가 짐 가득 가지고 있네요.)<br/>쿠우~크우~. (푸념을 흘릴까하고 생각했었는데….)
senmag.subnpc.rab.4	원? 원! (나의 식기를 가지고 있는 것이군?)<br/>쿠우…. (하아… 거기에 밥이 가득 들어가고 있으면 좋은데.)
senmag.subnpc.rab.5	….
senmag.subnpc.rab.6	<title name='NONE'/>(후렛타가 기르고 있는 개. 이름은 「러브」라고 하는 것 같다.)
senmag.subnpc.rab.7	왕왕!
senmag.subnpc.rab.8	원!
senmagresidentialdistrict.elain.1	일레 인이 로그인했습니다.
senmagresidentialdistrict.elain.2	일레 인의 상점 생성에 성공했습니다.
senmagresidentialdistrict.elain.3	[0]잡화
senmagresidentialdistrict.elain.4	[1]재봉
senmagresidentialdistrict.elain.5	[2]도면
senmagresidentialdistrict.elain.6	[3]식료품
senmagresidentialdistrict.elain.7	[4]가구
senmagresidentialdistrict.elain.8	[5]생산 도구
senmagresidentialdistrict.elain.9	[6]석재
senmagresidentialdistrict.elain.10	일레 인의 상점 생성에 실패했습니다.
senmagresidentialdistrict.elain.11	…|무심코 바빠요. |안경의 도수 바꿀까? |역시 사람이 많은 곳이 좋아요~|어머나, 그 남자 멋져(소곤소곤)|뭔가 먹고 나서 줄까? |, 조금 운동하지 않으면~|다음은 조금 부드러운 옷을 살까. |헤어스타일에서도 바꿀까…|조금 살쪘는지도…? |저녁식사는 빼지 않으면…|다이어트, 다이어트|스트레치~
senmagresidentialdistrict.elain.12	[0]잡화
senmagresidentialdistrict.elain.13	[1]재봉
senmagresidentialdistrict.elain.14	[2]도면
senmagresidentialdistrict.elain.15	[3]식료품
senmagresidentialdistrict.elain.16	[4]가구
senmagresidentialdistrict.elain.17	[5]생산 도구
senmagresidentialdistrict.elain.18	[6]석재
senmagresidentialdistrict.elain.19	(말이 통하지 않는 것 같다.)
senmagresidentialdistrict.elain.20	<npcportrait name='NONE'/><title name='NONE'/>철로 만들어진 것 같은 둥근 안경 중(안)에서 에메랄드색의 눈동자가 반짝반짝 하고 있는<br/>사랑스러운 여자 아이가 머리를 기울여 여기를 보고 있다. <br/>앞에서 짠 팔의 사이부터는 풍부한 가슴과<br/>정열적인 빨강과 부드러운 크림색이 조화를 이룬 고급감이 있는 옷이<br/>보는 사람에게 언밸런스한 매력을 준다. <br/><button title='계속한다' keyword='@continue'/>
senmagresidentialdistrict.elain.21	응? 뭔가 도울까요?
senmagresidentialdistrict.elain.22	물건은 많이 있어요. 필요한 것이 있으면 말해 주세요.
senmagresidentialdistrict.elain.23	<button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='석재를 산다' keyword='@resource'/><button title='수리' keyword='@repair'/>
senmagresidentialdistrict.elain.24	그 이외에 뭔가 다른 용무이기도 합니까?
senmagresidentialdistrict.elain.25	<button title='종료' keyword='@end'/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='석재를 산다' keyword='@resource'/><button title='수리' keyword='@repair'/>
senmagresidentialdistrict.elain.26	후후. 일을 게을리 하면 안 돼요~
senmagresidentialdistrict.elain.27	안녕하세요. 전에 만나뵌 적 있을까? <br/>일레 인이라고 말하는거야. 잘 부탁해.
senmagresidentialdistrict.elain.28	아,<username/>씨? 후후, 이름은 곧 기억해요.
senmagresidentialdistrict.elain.29	아, 어째서 오지 않을까 하고 생각하고 있었습니다,<username/>씨. 무엇을 도울까요?
senmagresidentialdistrict.elain.30	<username/>씨, 최근 좋게 와 주네요~
senmagresidentialdistrict.elain.31	안녕하세요~완전히 단골 손님이군요. 후후훗
senmagresidentialdistrict.elain.32	필요한 것이 있으면 말해 주세요~
senmagresidentialdistrict.elain.33	성을 세울 때 필요한 석재입니다. <br/>굉장히 크고 무겁기 때문에, 살 때는 주의해 주세요.
senmagresidentialdistrict.elain.34	<npcportrait name='NONE'/><title name='NONE'/>일레 인과의 회화를 끝냈다.
