tirchonaill.dilys.1	디리스가 로그인했습니다.
tirchonaill.duncan.522	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.523	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.524	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.525	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.526	딘은 축복의 기본을 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.527	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.528	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.529	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.530	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.531	딘은 당신에게 연금술의 기초를 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.532	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.533	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.534	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.535	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.536	딘은 식사의 기본 사항을 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.537	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.538	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.539	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.540	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.541	학장은 대장장이의 기본에 대해 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.542	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.543	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.544	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.545	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.546	딘은 맞춤 재단의 기본 사항을 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.547	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.548	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.549	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.550	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.551	학장은 제약 연구의 기초를 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.552	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.553	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.554	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.555	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.556	딘 (Dean)은 목공예에 대한 기본 지식을 알려줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.557	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.558	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.559	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.560	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.561	<image local='true'name='npctalk_questwindow'width='272'height='235'/>이제 작업 이름이 표시됩니다. 작업의 내용을 보려면 이름을 클릭하십시오. 작업 이름 옆에 노란색 작업 버튼이 표시되면이를 수행 할 작업입니까? <p/>이제 작업 완료 버튼을 클릭하십시오. 작업의 실행은 물론 중요합니다. 작업이 완료되면 노란색 '완료'버튼이 보상을 받기 위해 작업을 완료 한 것으로 간주됩니다. <p/>반드시 기억해야합니다! <username/>. 작업을 완료 한 후에 반드시 작업 완료 버튼을 누르십시오. (던컨은 갈색 눈으로 나를 친절하게 보았습니다.) <p/>이제 엘린에서 살기의 기초를 배웠습니다. 그들 중 한 명. <p/>올빼미가 작업을 전달해야 할 때입니다.
tirchonaill.duncan.562	오, 재능을 키우기 위해 지금 열심히 노력해 왔습니다. 나는 너를 위해 작은 선물을 가지고있다. 자신의 재능을 완전히 보여주기 위해 중간을 포기하지 마십시오!
tirchonaill.duncan.563	오! 당신은 정말로 다릅니다. 얼마나 놀라운 일인가 ... 놀라운! 매우 어려울 지 모르지만 결국이 길로 갈 수 있기를 바랍니다. 여기, 나는 너에게 선물을 준다.
tirchonaill.duncan.564	딘은 입상의 기본에 대해 이야기 해 줄 것입니다. <p/>주목할만한 묘사는 직접 체험과 비교할 수 없습니다. 교육을 시작할 준비가 되셨습니까?
tirchonaill.duncan.565	<button title='예' keyword='@answer_1'/>
tirchonaill.duncan.566	<button title='아니오, 아직' keyword='@answer_2'/>아직
tirchonaill.duncan.567	아주 좋아. 바로 교육을 시작합시다. <button title='대화 끝내기' keyword='@continue'/>
tirchonaill.duncan.568	알았어, 걱정할 필요가 없어. 내가있을 때마다 나는 여기에있다. 그래서 당신이 준비되면, 나에게 돌아 가라.
tirchonaill.duncan.569	꼭두각시의 의미는별로 흥미롭지 않습니까? <p/>그러나 사용 중에 인형도 손상되거나 손상된다는 점에 유의해야합니다. 우리 몸과 달리 손상되거나 손상된 부품은 시간이 지남에 따라 천천히 회복되지 않습니다 < 시간 내에 만 수리하십시오. <p/>만일의 경우에 대비하여, 당신은 당신의 몸에 약간의 물약을 준비해야합니다. 마네킹 수리를하는 것이 불편할 때, 약간의 사용이있을 것이고, 신체의 물약은 약간의 인형을 유지할 수 있습니다. <p/>실수로 인형을 손상시킨 경우 걱정하지 마십시오. 인형 수리 도구를 사용할 수도 있습니다. 도구로 수리하면 인형이 다시 움직일 수 있습니다. <p/>내가 너무 많이 말 했니? 딘은 실제 전투에서 인형을 사용하도록 가르쳐 줄 것이며, 선물을 준비했습니다. 주저하지 말고 받아주십시오.
tirchonaill.endelyon.1	엔데리온이 로그인했습니다.
tirchonaill.endelyon.2	엔데리온의 상점 생성에 성공했습니다.
tirchonaill.endelyon.3	[0]선물용
tirchonaill.endelyon.4	엔데리온의 상점 생성에 실패했습니다.
tirchonaill.endelyon.5	누군가 없을까…(사랑)|그것은, 조금…(싫어)|어째서 모두, 저것에 빠져 있을까? |한사람은, 조금 큰 일일지도…(정)
tirchonaill.endelyon.6	[0]선물용
tirchonaill.endelyon.7	<npcportrait name='NONE'/><title name='NONE'/>라이미라크 교단의 얇은 흑색의 여성용 사제옷을 입고 있는 여성. <br/>진한 갈색의 머리카락이 흰 피부와의 콘트라스트를 연출해, 견방으로 흐르고 있다. <br/>가늘어서 갸름한 얼굴, 그리고 상냥한 눈매가 조화를 베풀어, 기품을 감돌게 하면서도 침착한 인상이지만,<br/>미소지으면서도 단단하게 닫은 입술은, 강한 의지조차 느끼게 한다. <button title='계속된다' keyword='@continue'/>
tirchonaill.endelyon.8	처음 뵙겠습니다. 만나뵐 수 있어 기뻐요. <br/>
tirchonaill.endelyon.9	뭔가 용건입니까…? <button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='개조' keyword='@upgrade'/>
tirchonaill.endelyon.10	그 밖에도 아직 뭔가 있으십니까? <button title='종료' keyword='@end'/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='개조' keyword='@upgrade'/>
tirchonaill.endelyon.11	어머나 귀여워라. <br/>내가 기억했던 <username/>씨는 <br/>이런 분이 아니셨는데... <p/>혹시... <username/>씨 자제분...? <br/>뭐, 아무렴 어떻겠어요.
tirchonaill.endelyon.12	처음 뵙겠습니다. 만나뵐 수 있어 기뻐요.
tirchonaill.endelyon.13	또, 만날 수 있었어요. 만나뵐 수 있어 기쁩니다.
tirchonaill.endelyon.14	안녕하세요. <br/>슬슬<username/>씨가 오는 것 같은 생각이 들고 있었어요.
tirchonaill.endelyon.15	또 만날 수 있었어요,<username/>씨?
tirchonaill.endelyon.16	라이미라크의 축복이,<username/>씨와 함께 있도록….
tirchonaill.endelyon.17	무엇을 찾기입니까?
tirchonaill.endelyon.18	<npcportrait name='NONE'/><title name='NONE'/>엔데리온과의 회화를 끝냈다.
tirchonaill.endelyon.19	이 마을의 잡화상의 물건은 무엇보다 튼튼해, 상품질이 매물이에요. <br/>한 번, 보셔 봐 어떠세요? 점원 말콤씨를 방문해 봐 주세요.
tirchonaill.endelyon.20	식료품점의 점주는 케이틴씨의 모친인 것입니다만,<br/>눈의 상태가 생각되지 않기 때문에,<br/>케이틴씨가 대신에 가게의 일을 해내고 있습니다. <p/>큰 일이지요하지만, 일절얼굴에 드러내지 않을 정도 의지의 강한 아가씨예요. <br/>… 아라, 싫다… 이야기를 피해 버려 미안해요. 식료품점은, 광장의 곧 근처에 있어요. <p/>밖에는 여러가지 식품 재료료가 놓여져 있어,<br/>세프의 간판도 나와 있기 때문에, 곧바로 발견된다고 생각합니다.
tirchonaill.endelyon.21	이 마을의 소문이라면, 은행에 있는 베빈이라고 이야기해 봐 주세요. <br/>희비교들, 어떤 사소한 소문에서도 알고 있을 것입니다. <br/>마을의 분위기를 파악하려면, 안성맞춤의 분인거에요.
tirchonaill.endelyon.22	가벼운 상처는 마법이나 포션을 사용해 치료할 수 있습니다만,<br/>깊은 상처는 그러면 낫지 않습니다. <p/>그러한 경우는 반드시, 치료자의 집에 있는 디리스씨의 곳에서 치료를 받도록해 주세요.
tirchonaill.endelyon.23	이전에는 이 마을에도, 민박은 그 나름대로 있던 것 같습니다. <br/>그렇지만, 여기에 방문하는 여행자가 서서히 증가하기 시작해,<br/>정확히 긴 여행으로부터 돌아온 피르아스씨가 여관을 지어,<br/>숙박 업무를 담당하게 되었습니다. <p/>여관은, 광장으로부터 남동쪽에 비탈길을 조금 내린 곳에 있어요.
tirchonaill.endelyon.24	대장간씨? 퍼거스씨를 찾고 있습니까? <br/>뭐, 어떻게 하지요… 저, 광장의 저 편 쪽인 것이지만…. <br/>몹시 말씀드리기 어렵습니다만, 아무래도 마을의 반대 측에 와 버린 것 같습니다….
tirchonaill.endelyon.25	라이미라크 성당에, 잘 오셨습니다. <br/>여기는 라이미라크의 신을 제사 지내는 장소예요.
tirchonaill.endelyon.26	류트는, 둥그스름을 띤 보디에 약간 긴 헤드와 약간 짧은 듯한 넥을 달아,<br/>브릿지로부터 헤드에 걸쳐 양의 창자현을 쳐, 손가락으로 연주하는 현악기입니다. <br/>스타일에는 「볼로냐」 「베니스」 「파드바」등의 종류가 있어,<br/>나의 추천은 메이풀의 무크재를 사용했다……. <p/>… 엣? 만드는 방법은 아니게 연주 방법… 입니까? <br/>아, 모, 몹시 실례 했습니다…. <br/>연주이면, 실제로 악기를 가져 조금 연습하면<br/>누구라도 간단하게 튀게 되어요. <p/>제작 완료의 류트는, 잡화상씨로 판매하고 있습니다. <br/>당신도 어떻습니까?
tirchonaill.endelyon.27	악기 연주주입니까? <br/>실은 나… 유소[幼少]의 무렵부터 오르간이나 류트를 하고 있습니다만,<br/>악기 연주는 말은 아니고,<br/>실제로 연습하면서 몸에 붙는 스킬인 것 같습니다. <p/>다행히, 류트는 티르코네일로 잘 보이기 때문에,<br/>잡화상의 말콤씨에게 상담해 보면 어떻습니까? <br/>거기서 팔고 있는 것을 본 적이 있어요.
tirchonaill.endelyon.28	식당입니까? 음식을 찾기입니까? <br/>이쪽에서는 드려지는 것은 지금은 없습니다, 미안해요…. <p/>수제품의 요리는 준비할 수 없습니다만,<br/>케이틴씨의 식료품가게에 가 보면 어떻습니까? <p/>주민들은, 모두 케이틴씨의 가게로 식료를 구입하고 있어요.
tirchonaill.endelyon.29	무기가게… 입니까…. <br/>아무리 자기 방위를 위해서라고는 해도 무기를 갖추어 두는 것은,<br/>폭력과 죽음의 세계에 스스로를 가까이 하는 것입니다. <p/>라이미라크신의 가르침과는 다른 생각이예요….
tirchonaill.endelyon.30	양복을 요구인 것입니까? <br/>양복은, 말콤씨의 잡화상에서 판매하고 있어요. <br/>잡화상씨의 장소는 아시는 바입니까? <br/>성당앞의 비탈길을 올라, 광장의 근처를 찾아 봐 주세요.
tirchonaill.endelyon.31	서점입니까? <br/>죄송합니다만… 이 마을에 서점은 없습니다. <br/>책은 가격이 비싸게 시간도 필요한 것으로,<br/>어느 정도 여유가 있는 사람이 아니라고 읽을 수 있지 않기 때문에…. <p/>지금, 이 마을의 사람들은,<br/>생활을 위한 일로 바쁜 것 같기 때므로…. <br/>이 마을에서 살 수 있는 책은, 마법의 책이 수권 정도라고 생각해요. <p/>이따금, 퍼거스씨랑 레이널드씨로부터<br/>선물로 받는 일도 있다고 생각합니다만,<br/>읽기 위한 책을 볼 기회는 적네요….
tirchonaill.endelyon.32	관청입니까? <br/>어떻습니까… 이 마을에서 보았던 적은 없습니다만….
tirchonaill.endelyon.33	… 인간이, 동물로부터 고기와 가죽을 얻어 사는 것은 사실입니다. <br/>그러나, 필요 이상의 동물을 무차별하게 잡아 버려서는<br/>라이미라크신의 슬픔과 함께 케르는노스신의 분노를 사겠지요. <p/>만약 스킬을 얻었다고 해도, 사냥에는 사용하지 말아 주세요… 부탁합니다.
tirchonaill.endelyon.34	활, 입니까…. <br/>어떻습니까… 대장간씨라면 있을지도 모릅니다. <br/>활은 주로 나무로 만드는 것입니다만,<br/>「화살촉」(이)나 세세한 부품은 테츠가 아니면 쓸 만하지 않기 때문에.
tirchonaill.endelyon.35	그 일이라면, 자경단원의 트레보씨랑<br/>레이널드씨와 이야기해지는 편이 좋을 것입니다. <br/>이 마을에서 가장 뛰어난 무술가는, 그 두분이므로…. <p/>트레보씨는 마을의 북측의 알비 던전에 가는 길에,<br/>레이널드씨는, 이 고대[高台]하의 학교에 계셔요.
tirchonaill.endelyon.36	그 화제라면, 레이널드씨와 이야기해지는 편이 좋을 것입니다. <br/>레이널드씨는, 아래로 보이는 학교에 가(오)십니다.
tirchonaill.endelyon.37	스매쉬 스킬에 대해서는, 그다지 자세하게는 없습니다…. <br/>레이널드씨랑 퍼거스씨와 이야기해지는 편이 좋을 것입니다. <p/>방금전 여기를 지나 갈 수 있던 분들이,<br/>그렇게 말씀하시고 있었어요.
tirchonaill.endelyon.38	… 자세하게는 모릅니다만…. <br/>그렇게 말한 것을 하는 사람은, 라이미라크신의 자애를<br/>받을 수 없는 인생을 보내는 일이 되겠지요….
tirchonaill.endelyon.39	채집 스킬에 대해서는 아시는 바입니까? <br/>후후, 그렇게 긴장하지 말아 주세요. <br/>도구가 있으면 누구에게라도 할 수 있어요. <p/>채집이란, 적합한 도구를 가진 상태로<br/>자연으로부터 다양한 은혜를 얻을 때 나타나는 스킬입니다. <br/>아직 케이틴씨와 만나뵙고 있지 않는 것이면,<br/>채집에 대해 한 번 이야기를 되어 보면 어떻습니까?
tirchonaill.endelyon.40	광장은, 옆의 비탈길을 조금 오른 곳에 있습니다. <br/>언제나 인파로 활기차 있기 때문에, 간단하게 찾아낼 수 있다고 생각해요.
tirchonaill.endelyon.41	티르나노이란, 라이미라크신과<br/>에린의 2개의 주신인 제미다라크,<br/>그리고 하이미라크가 지지하고 있는 신들의 세계입니다. <p/>그리고, 모든 신들의 왕인<br/>아톤시미니가 수습하는 땅이기도 합니다.
tirchonaill.endelyon.42	마비노기… 내가 알고 있는 것은, 음유시인의 노래라고 하는 일만입니다. <br/>음유시인에 의해 전해지고 해 전설, 어느덧 노래가 된 영웅기담…. <p/>마비노기에 대해서는,<br/>나보다 메이븐 사제님 쪽이 자세하다고 생각해요. <br/>거기에… 던컨 촌장씨도 잘 알고 있을 것입니다. <br/>이 두분에게 질문 주십시오.
tirchonaill.endelyon.43	저수지는 이 곧 근처예요. <br/>풍차로 물을 이끌어, 농경지에 흘리고 있습니다.
tirchonaill.endelyon.44	정직… 복잡한 기분이에요. <br/>농경지는 이 앞이지만… 주의해 주세요. <p/>많은 사람의 출입으로 곡물이 망쳐져<br/>마을의 주민에게 대단한 폐가 나와 있는 것 같습니다. <br/>내가 허가를 얻을 수 있었을 때 이외는, 그다지 마음대로 들어가지 말아 주세요.
tirchonaill.endelyon.45	풍차입니까? <br/>풍차는 마을의 남동, 입구 부근에 있습니다. <br/>그러나, 저기에는 이렇다 할 만한 것은 아무것도…. <p/>… 혹시… 아리사짱을 만나고 싶습니까? 후훗.
tirchonaill.endelyon.46	아데 리어강은, 나와 메이븐 사제님이 이 마을에 오기 전,<br/>이 성당에 있어진 아데 리어 사제님의 이름을 씌운 시냇물입니다. <p/>아데 리어 사제님은, 이전 이 마을에 정체 불명의 괴물이 나타났을 때,<br/>여성이면서 용감하게 직면해,<br/>라이미라크신의 힘을 빌려 괴물을 쫓아버린 것입니다. <p/>마을의 누구라도, 전사조차도 주저 하고 있던 괴물에,<br/>어째서 그녀는 직면할 수가 있던 것이지요…. <br/>나에게는 아직, 그 용기와 자애를 느낄 수가 없습니다. <br/>라이미라크신을 우러러보는 마음은 함께일 것인데…. <p/>그녀의 초상화를 봐도, 매우 아름다워서 여성답습니다. <br/>어디에 그런 용기가 있던 것이지요…. <br/>역시 신앙의 힘인 것입니까…? <p/>그녀를 생각하면,<br/>나는 이 마을에서 어떤 존재여야할 것인가,<br/>재차 생각해 버립니다….
tirchonaill.endelyon.47	촌장씨의 댁은, 광장의 바로 위에 있어요. <br/>광장 정면에 있는, 동물의 벽화가 있는 언덕에 오르면 좋을 것입니다.
tirchonaill.endelyon.48	학교는, 이 성당 전부터 찾아낼 수 있어요. <br/>라사씨와 레이널드씨가 계시는 곳입니다. <br/>마법이나 검술의 일이라면, 역시 그들에게 묻는 것이 제일입니다.
tirchonaill.endelyon.49	간단한 연습곡 이라면 몰라도,<br/>제대로 한 음악을 연주하기 위해서는<br/>악보가 필요하게 되겠지요. <p/>악보가 있으면, 거기에 곡을 기입할 수가 있습니다. <br/>말콤씨의 잡화상에서, 미기입의 악보를 구입할 수 있어요.
tirchonaill.endelyon.50	윈드… 이지요? 마을에는 풍차가 있습니다만,<br/>풍차와 관계가 있는 스킬인가는, 나에게는 모릅니다….
tirchonaill.endelyon.51	… 유효한 스킬인 것 같습니다만…. <br/>마을 중(안)에서 불을 피울 때는, 충분한 주의가 필요하겠지요. <p/>화재의 위험성은 물론,<br/>뒷정리도 편하지는 않으니까. <p/>마을 중(안)에서 캠프 파이어를 하는 것보다는,<br/>할 수 있으면 여관과 같은 장소를 이용 없음 한편이 좋다고 생각해요.
tirchonaill.endelyon.52	촌장씨의 댁에게 간 적은 있습니까? <br/>그곳의 바로 뒤가 묘지가 됩니다. <br/>묘지의 주변은 조금 어슴푸레한 분위기입니다만,<br/>옛날, 마을을 지켜 주신 여러분의 묘입니다. <p/>아, 무덤의 주위에는 큰 거미가 나타나기도 하기 때문에,<br/>충분히 조심해 주세요.
tirchonaill.endelyon.53	어머나… 아직 불만인 것입니까…. <br/>이 일에 대해서는, 식료품점의 케이틴씨에게 질문 주십시오. <p/>나도, 고의로 이야기하지 않을 것이 아니기 때문에…. <br/>힘이 되지 못하고 죄송합니다.
tirchonaill.endelyon.54	라이미라크신에 대해 흥미가 있으신 것 같네요. <br/>라이미라크신은, 절대신아톤시미니를 우러러보는<br/>3명의 주신중 맨 위에 위치하는 신입니다. <p/>티르코네일이 속하는 우르라 대륙을 대표하는 신이기도 합니다. <br/>지금까지 발발한 거대한 전쟁마다 인간을 불쌍히 여겨,<br/>슬픔으로부터 인간을 구해 주신 것입니다.
tirchonaill.endelyon.55	라이미라크신은, 에린의 3명의 주신의 쳐 가장 상위에 해당하는 신입니다. <br/>덧붙여서, 이 대지를 구성해 있는 3개의 미덕인<br/>「자유」 「사랑」 「평화」중(안)에서, 사랑을 담당하고 있는 신이기도 합니다. <p/>아이의 무렵, 라이미라크 신님의 사랑을 체험하지 않았으면,<br/>나도 평범한 여자 아이로서 자란 것 것이 틀림없습니다….
tirchonaill.endelyon.56	신님을 우러러보는 것은 축복되기 위해서가 아니고,<br/>마음에 평안을 요구해, 세상의 진실에, 보다 자신을 접근하기 (위해)때문에입니다. <p/>그러나, 대부분의 사람들에게는, 이 일이 이해해 받을 수 없습니다…. <br/><username/>씨는, 어떻습니까?
tirchonaill.endelyon.57	당신은 신님의 존재보다,<br/>사제의 나에게 흥미가 있는 것 같네요…. <br/>그것은 조금 곤란합니다.
tirchonaill.endelyon.58	결코 악의는 아니고, 이런 일을 묻는 것이라고는 생각합니다만, 나는 사제입니다. <br/>나의 입장도 조금 생각해 받을 수 있으면, 이라고…. <br/>향후, 그러한 질문은 삼가해 주세요.
tirchonaill.endelyon.59	<username/>씨는, 어느 쪽으로부터 계신 것입니까? <br/>나는 여기의 출신이 아닙니다만, 매우 마음에 듭니다. <br/>이 아름다운 정경을 보면,<br/>나의 기분을 알 수 있어 받을 수 있는 것이라고 믿고 있습니다.
tirchonaill.endelyon.60	나로 좋다면, 언제라도 힘이 됩니다….
tirchonaill.endelyon.61	{0}에{1}이 습격했다고 하는 소문이 있는 것 같습니다. <br/>부디 무사하게 들어가도록….
tirchonaill.endelyon.62	{0}의{1}에,{2}가 나타나는 것 같습니다. <br/>무사를 기원 하고 있습니다.
tirchonaill.endelyon.63	베빈의 일로, 사람들의 불만이 격해지고 있는 것 같습니다. <br/>그러나, 베빈도 마을사람들을 생각하는 기분이 있던 일이므로,<br/>특히 악의가 있는 것은 아니라고 생각합니다. <p/>만약 그녀에게 나쁜 생각을 하고 계시는 분에 만나뵈면,<br/><username/>씨가 능숙하게 설득 해 주세요.
tirchonaill.endelyon.64	메이븐 사제님은, 매우 훌륭한 분입니다. <br/>대성당에 그대로 근무하고 있으면<br/>많은 찬사와 존경을 받고 계셨을 것인데,<br/>그 신앙의 강함 이유, 산기슭의 마을사람들을 위한 길을 선택된 것입니다. <p/>이것은, 말로 말할 만큼 간단한 일이 아닙니다.
tirchonaill.endelyon.65	아시는 바입니까? <br/>보통, 생명력을 모두 잃어 넘어져 버리면,<br/>소지의 아이템을 잃어 버리는 일이 있습니다. <p/>그러나, 남쪽에 있는 도시 던바튼의 관청에서는,<br/>그렇게 말한 아이템도 모두 찾아 주는 것 같습니다. <br/>다만, 돈이 많이 드는 것 같습니다만…. <p/>게다가 몇번이나 분실하면 관청의 직원에게 혼나,<br/>찾아 받을 수 없는 경우도 있다 해요. <p/>라고는 해도, 그렇게 될 것 같은 때는<br/>곧 일어나 아이템을 주우면 좋겠습니다만…. <br/>상황과 장소에 따라서는, 그렇게도 안 되는 것이 있습니다. <p/>많은 사람이, 아이템을 잃지 않는 방법을 열심히 찾은 것 같습니다만,<br/>이 교단에서 사용하고 있는 「축복 포션」에 그렇게 하는 효과가 있는 것 같아요. <p/>한 번 아이템에 이 축복 포션을 사용하면,<br/>아이템에 축복을 걸쳐진 상태가 되어,<br/>내구력의 떨어지는 비율이 적게 될 것 같습니다. <p/>무엇보다, 생명력을 모두 잃은 상태로 넘어져도,<br/>아이템을 잃는 것이 없다고 합니다. <p/>다만, 넘어졌을 때 아이템에 충격이 주어지면,<br/>축복이 사라져 버리는 일도 있는 것 같습니다. <br/>사람들의 이야기에서는, 약반반 정도라고 하는 일입니다만…. <p/>… 이상, 축복 포션에 대한 간단한 설명이었습니다. <br/>참고하셨습니까? <p/>만약 축복 포션이 필요한 때는, 나에게 소리를 걸쳐 주세요. <br/>무상이 아닙니다만, 성당의 일을 도와 받을 수 있으면<br/>조금입니다만 드릴 수 있습니다.
tirchonaill.endelyon.66	다른 마을사람들의 욕을 묻는 것도,<br/>말하는 것과 같은 정도 좋지 않는 것이에요. <br/>조심해 주세요.
tirchonaill.endelyon.67	퍼거스씨는 술을 과음하는 것 같고 걱정입니다. <br/>거의 매일 마시고 있는 것 같습니다. <br/>일만이라도 대단할 것인데, 그렇게 마셔지다니….
tirchonaill.endelyon.68	노라짱은, 사랑스럽고 강한 아가씨예요. <br/>그녀는 대단한 인생을 보내면서도,<br/>언제나 밝고 건강하게 행동하고 있습니다. <p/>말콤씨의 기분에, 조금이라도 깨달아 주면 좋습니다만….
tirchonaill.endelyon.69	디리스씨에게는 만났습니까? <br/>디리스씨는, 이 마을에서 치료자의 일을 하고 있습니다. <br/>북동으로 곧바로 가면 치료자의 집이 있기 때문에,<br/>한 번 들러 주세요.
tirchonaill.endelyon.70	부탁입니다… 다른 화제로 해 받을 수 없습니까?
tirchonaill.endelyon.71	… 그런 것입니까… 당신은, 나의 모르는 것까지 아시는 바인 것 같네요.
tirchonaill.endelyon.72	… 조금 기다려 주십시오? 지금은 손을 떼어 놓을 수 없으므로….
tirchonaill.endelyon.73	미안해요, 갑자기 바빠져서. 또 다음으로 해 받을 수 있습니까?
tirchonaill.endelyon.74	그것이라면, 남성에게 들어 보면 좋다고 생각해요. |잘 모릅니다만… 미안해요. |나에게는 조금… 다른 이야기는 없습니까? |어떻습니까… 나에게 대답할 수 있는 것 같은 일이 아니기 때문에. |그것은… 모르는 화제군요….
tirchonaill.endelyon.75	나는, 스킬에 대해서는 잘 모릅니다…. <br/>유일 알고 있는 것은, 재봉 스킬 뿐이에요. <br/>재봉 스킬에 대해서는 아시는 바입니까? <p/>만약 재봉에 대해 자세하게 알고 싶은 것이면,<br/>식료품점의 케이틴씨와 이야기 해 주십시오. <br/>이 마을에서는, 케이틴씨가 제일의 솜씨이므로….
tirchonaill.endelyon.76	지금 입고 계시는 양복은, 재봉 스킬로 직접 만든 것입니까? <br/>후후, 잘못되어 있으면 죄송합니다. 너무나 예쁜 양복이었던 것으로….
tirchonaill.endelyon.77	작곡 스킬은 아시는 바입니까? <br/>사랑하는 사람을 위해서, 작곡을 해 본다는 것은 어떻습니까?
tirchonaill.endelyon.78	어? 베빈은 나에게 작곡 스킬에 대해 물어 보도록 말한 것입니까? <br/>… 에에, 물론 작곡은 좋아하지만… 나 따위는 아직 멀었습니다…. <br/>사람에게 가르치는이라니, 송구스러워서…. <p/>아, 그래요… 작곡의 일로 하나 생각해 냈습니다. <br/>부탁해도 좋을까요? <p/><title name='NONE'/>(엔데리온으로부터 퀘스트 스크롤을 받았다.)
tirchonaill.endelyon.79	작곡에 대한 이야기의 일입니다만,<br/>내가 부탁한 퀘스트 스크롤은 보셨습니까?
tirchonaill.endelyon.80	오늘의 일은 종료 했습니다. <br/>축복 포션이 비용이라면, 내일 또 방문 주십시오.
tirchonaill.endelyon.81	내가 의뢰했습니다 일은 벌써 끝났습니까? <br/>전부 끝나 있는 것 같다면 보고해 주세요. <br/>지금, 보고합니까? <br/><button title='보고한다' keyword='@report'/><button title='보고하지 않는다' keyword='@later'/>
