emainmacha.subnpc.cecil.1	세실 데뷔.
g1.169	티르나노이… 하… 하…. <br/>완전히, 하…, 브라이스가 쓸데없는 일을 말해…. <p/>본? 책이라면 반호르이 아니고, 하… 하…. <br/>던바튼에 가 주세요, 하… 하….
g1.170	… 네, 이야기 한 대로…. <br/>발리 던전에서 사용하면 좋습니다. <br/>혼자서 가도 괜찮습니다만, 위험하다고 생각한다면 친구를 한사람이나 두 명을 데리고 가는 것도 좋을 것입니다. <p/>만약…, 잃어 버리면<br/>가장 먼저 나의 곳에 와 주세요.
g1.171	… 그 책… 분명하게 읽었습니까…? <br/>그런데도, 미련이 있습니까…? <br/>역시…. <br/>…. <p/>… 솔직히 말해, 그 책을 읽는 것만으로,<br/>호기심을 만족시켜, 는 이루어져 꿈을 버려 받고 싶었던 것입니다만…. <br/>… 역시, 모험가의 정신이 그것보다 앞서 있는 것이군요…. <p/>…. <p/>…. <br/>티르나노이는… 낙원이 아닙니다. <br/>그 책에 있는 내용은, 실은 거짓말입니다. <br/>… 티르나노이는 실재하고 있어, 낙원 따위가 아닙니다. <p/>…. <p/>잘 들어 주세요. 티르나노이는 마족의 토지인 것입니다. <br/>그리고… 여신은 그 아름다운 모습으로<br/>당신 같은 활기 흘러넘치는 모험가들을 이용할 뿐인 것입니다. <p/>…. <p/><image name='G1_Ch09_brownpass'/>… 믿고 하시지 않는 것 같네요. 후후후…. <br/>지금, 내가 드린 것은, 마족들이 던전에서 사용하는 통행증입니다<br/>마족들이 던전에서, 여신의 결계로부터 도망치기 위해서 사용하는 것입니다. <p/>그것을, 반호르의 발리 던전의 여신의 상에 바치면…,<br/>내가 이야기한 것을, 당신의 눈으로 직접 확인할 수 있을 것입니다. <br/>붉은 여신의 날개를 모두 드리기 때문에, 필요하다면 사용해 주세요…. <br/>혼자서 가도 좋습니다만, 위험하다면, 친구를 한사람이나 두 명을 데려 가도 좋습니다. <p/>… 티르나노이에 가는 것은…. <br/>그만두는 편이 좋습니다. <p/>… 나의 충고를 마음에 새겨 주세요.
g1.172	… 아직, 티르나노이에 갈 생각입니까…? <br/>그 책을 읽어도…? <p/>… 선인의 지혜를 믿지 않으면<br/>직접 경험 할 수 밖에 없네요…. <p/>… 드리고 싶은 것이 있습니다만,<br/>우선, 가지고 있는 아이템을 조금 정리하지 않으면<br/>드릴 수가 없습니다.
g1.173	… 책도 가지지 않고 그런 이야기를 해도…. <br/>… 정직, 그 책을 정말로 읽었는지 믿을 수 없습니다. <br/>우선, 그 책을 가져와 주십니까…?
g1.174	마족통행증을 다시 또들 있으러 온 것이군요…. <p/>조금 조금 전… 후크로우가 또 가져와 주어<br/>곧 돌아온다고 생각했습니다. <br/>사용할 때, 좀 더 조심해 주세요.
g1.175	… 마족통행증, 나도 또 드리고 싶습니다만…. <br/>… 우선은, 아이템의 정리를 해 주세요. <br/>(이)가 아니면, 드릴 수가 없습니다.
g1.176	이 화면의 screen shot를 찍어, 불편 게시판에 보고해 주세요. G1-9c
g1.177	… 자…. <br/>나는 지금의 이 마을도 충분히 좋아해…. <p/>… 세계에는 괴롭다고 생각하고 있는 사람이 무엇으로 이렇게 많을까…? <br/>아무튼…, 누나가 좀 더 상관해 주면 좋다고 생각하지만…
g1.178	낙원에서 생각해 냈지만…. <br/>일전에, 꿈을 꾸었지만,<br/>그것이, 평상시 갖고 싶었던 것으로 가득한 방이<br/>자신의 방이 된 것입니다! <p/>… 낙원이라면…. <br/>역시 갖고 싶은 것이 전부 주어진 곳이 아닐까요? <p/>… 낙원이 그렇지 않았으면, 뭔가 재미있지 않은 것 같다…
g1.179	아무리 먹어도, 살찌지 않는 곳이 있으면<br/>아무리 좋을까요…. <p/>그런 곳이 낙원이군요…
g1.180	낙원? <br/>그런 것 들어 뭐 하지? <p/>쓸데없는 일 묻지 말고<br/>좀 더 건설적인 일을 생각해~. <p/>어떻게 하면 양을 간단하게 셀 수 있는지,<br/>아무튼, 그런 일이라든지~.
g1.181	…. <br/>오랫동안 잊고 있었던 말이군요…. <p/>… 왜 잊고 있던 것입니까….
g1.182	낙원인가…. <p/>의외로진정한 낙원은 자신의 모르는 동안에<br/>바로 옆에 와 있을지도 몰라. <p/>그것을 깨닫고 나서는 늦을 때도<br/>있고…. <p/>아직 젊을 때에, 그것을 발견할 수 있으면<br/>큰 행운일 것이다. 노력하세요.
g1.183	티르나노이…. <br/>아마, 그야말로가 현세에 나타나는<br/>낙원이 아닐까요.
g1.184	무기가 없고, 농기구만을 만들어<br/>안전하게 살 수 있는 곳이라면<br/>낙원이 아닌 걸까나. <p/>그랬더니, 나의 일도 줄어들텐데… 포포….
g1.185	쿠쿡크…, 인간들은 현세에 만족할 수 없는 것 같네요. <br/>아무튼, 어느 의미<br/>그야말로가 인간이라고 하는 존재를 좀 더 번뜩거릴 수 있습니다만…. <p/>… 그것은 인간을 제일 흉악한 존재에도<br/>해 버립니까<p/>… 기분을 나쁘지 않음도 참, 미안합니다. <br/>실례를 범한 것 같네요.
g1.186	낙원이라고, 사람에 따라서 다른 것이 아닙니까? <p/>단지 배를 비운 사람이 없다든가, 병이 없다든가<br/>누구라도 젊어서 장수 할 수 있다든가 말하는 것도<br/>실제, 경험해 보면 생각했던 것보다 좋은 일이 아닐지도<br/>모릅니다.
g1.187	낙원인가…. <br/>하…. <p/>노라짱이 나를 봐, 한 번이라도 미소지어 주면<br/>그야말로가 낙원일 것이다…. <p/>아, 지금 들은 것은 잊어 주세요. <br/>단순한 혼잣말이기 때문에….
g1.188	인간에게 있어 진정한 낙원과는<br/>어떤 물건인지를 먼저 생각하지 않고<br/>마구마구 낙원 대해 논하는 것은 경박한 일일지도<br/>모르지. <p/>그런 의미로,<username/>씨는<br/>낙원이라고 하는 것을 어떻게 생각하고 있는지? <p/>뭐, 금방 대답하지 않아도 좋다. <br/>한 번 정도는 생각해 둘 필요가 있다고 하는 일만에서는.
g1.189	낙원인가~. <br/>그런 것이 실제로 있으면 한 번은 가 보고 싶네요. <br/>구경하기에는 재미있을 것 같지 않습니까?
g1.190	낙원입니까…. <p/>여행을 하고 있는 사람들은 아마<br/>모두, 마음 속에 이상의 낙원을 하나씩은<br/>가지고 있는 것이 아닐까요. <p/>아무튼… 길어지면 재미없겠지요. <br/>언젠가 기회가 있으면 내가 경험한 이야기에서도<br/>이야기 합시다.
g1.191	내가 생각하는… 낙원? <p/>인… 단호히 이야기하기 힘든데…. <br/>전장에서 피로로부터 멀어져, 고향에 돌아왔을 때의 기분…. <p/>그야말로가 낙원의 기분이 아닌 걸까나…?
g1.192	낙원입니까? <br/>나는 언제나 이 티르코네일을 낙원과 같이<br/>살기 쉬운 마을로 하기 위해서 노력하고 있습니다. <p/>그러니까, 이렇게 해 경비도 열심히 하고 있습니다. <br/>그러므로, 자신의 일에 프라이드를 느끼고 있습니다!
g1.193	응? 낙원? <p/>용사님~. 나는 용사님이 이 세상을<br/>낙원으로 해 주는 것을 믿고 있습니다~. <br/>꺄~. <p/>……. <br/>쿠핫핫하! 표정이 얼고 있겠어. <br/>일어나라, 일어나라. 확실히 한다, 쿠핫하.
g1.194	바라볼 수 있는 한, 처음부터 끝까지 전부<br/>책으로 가득한 도서관입니다! <p/>아, 그러니까 그것이 낙원일까 하고 생각합니다. <p/>실제로 있어도 괜찮지 않습니까. <br/>낙원이 반드시 환상적인 필요는 없을 것입니다?
g1.195	낙원입니까…. <p/><title name='NONE'/>(아란웬은 외로운 것 같은 미소를 띄웠다.)<p/>누군가를 위해서 낙원을 만들 수 있다면<br/>그것도 좋을 것입니다. <p/>수행은 그런 힘을 기르기 위해서<br/>하는 것입니다.
g1.196	낙원…. <br/>아마, 티르나노이와 같은 곳이 낙원이 아닐까? <p/>영원의 젊음과 행복이 보증된 곳이니까,<br/>그런 곳이 낙원이 아니었으면 도대체 무엇이다.
g1.197	주로 기원을 바쳐, 평화롭게 살 수 있는<br/>지금, 이 순간이 낙원이라고 생각합니다. <br/>희망을 가져, 전만을 응시할 수 있는 것이<br/>낙원의 조건은 아닐까요.
g1.198	낙원? <br/>흥, 아이인가.
g1.199	낙원이라면…. <br/>시시한 것을 듣지마….
g1.200	이전, 이비가 들어 온 것으로, 티르나노이에 관한<br/>이야기를 하면, 그 이후 쭉 거기에 빠져 있어 버려…. <br/>아무튼, 지금, 여기서의 생활이 낙원과는<br/>정반대의 곳이기 때문에, 그렇게 생각하겠지만…. <p/>….
g1.201	이 세상에 티르나노이가 강림 하면<br/>그야말로가 낙원이 됩니다. <p/>나는 라이미라크신의 사제로서<br/>언제나 그 점을 여러분에게 지도 하기 위해서<br/>노력하고 있습니다. <p/>그러나, 나의 설득이 부족할지도 모르면<br/>가끔 생각해 버립니다…
g1.202	튼튼한 몸에 건강한 정신, 거기에<br/>최선을 다해 자신의 일을 할 수 있다면<br/>별로 낙원 같은거 필요없다!
g1.203	어쩐지 근사하지만, 정말로 그런 곳이<br/>있을까나? <p/>할아버지는 농담은 그만두어라고<br/>하지만, 그렇지만 꿈은 뭔가 좋지 않아.
g1.204	… 시시한 이야기다.
g1.205	이비… 옛날, 꿈을 꾸었지만…. <p/>예쁜 꽃이 가득한 뜰에… 마마와… 파파와…. <br/>어흠, 코홋…! <p/>이비도 아프지 않아… 즐겁게 달리면서 놀아 있었다지만…. <br/>그것이 낙원일까…? <br/>이비, 좋은 아이로 하고 있으면, 거기에 갈 수 있을까나?
g1.206	후~, 낙원입니까. <br/>어쩐지 먼 곳에 느껴지는 말이군요. <p/>아, 그렇지만 지금, 여기에 있는 것이 불만이<br/>아닙니다. <br/>다만, 낙원이라고 말하는 단어의 느낌이 그렇게 느끼게 하는<br/>뿐입니다.
g1.207	제니퍼 누나는 가끔 이런 이야기를 하면,<br/>자신과는 관계가 없는 이야기 보고 싶은<br/>말합니다. <p/>어쩐지 옛 오랜 상처라도 있습니까? <br/>그렇지만, 이런 일 들으면 화가 나기 때문에<br/>묻는 일도 할 수 없습니다만 말이죠, 하 하….
g1.208	잘 모르지만, 그런 곳이 있으면<br/>이비 데리고 가고 싶구나. 헤헤헤….
g1.209	낙원입니까, 하… 하…. <br/>지금은, 하… 하…, 그런 생각은 별로…. <br/>하… 하… 할 여유가 없네요…. 하…. <p/>다음에 시간이 있으면, 하… 하…. <br/>생각해 봅시다, 하… 하….
g1.210	마족의… 메달입니까? 그런 물건이 있습니까? <br/>조금… 봐도 좋을까요…? <p/><image name='G1_Ch11_12_fomormedal01'/>이상하네요… 이것은 보통 사제들이 사용하는 메달이지만…. <p/>이 세상을 만든 원리가 들어가 있으면 말해지고 있어<br/>사제라면 누구라도 가지고 있는 것입니다…. <p/>마족이 사제의 것을 주웠던가…? <br/>어떤 것… 나의 것은 분명하게 있습니다만…. <br/>다른 사제의 여러분과 이야기해 보았습니까?
g1.211	<image name='G1_Ch11_12_fomormedal01'/>이것은… 어떻게 봐도 사제의 증명이지만? <p/>네, 내가 걸치고 있는 목걸이가 사제의 증명입니다. <br/>둥근 십자가로 되어있는 것입니다. <p/>있는 분은Ⅹ글자의 형태라고도 말씀하셨습니다만… 하하하…. <br/>네? 마족으로부터 같은 것이 나온 것입니까? <p/>그럴 것은…. <br/>사실이다… 그렇지만, 조금 다르네요…. <p/>질이나 무게가<br/>법황청으로부터 지급되는 것이란, 미묘하게 다르네요…. <p/><image name='G1_Ch11_12_fomormedal02'/>아! 이것은! 뒤로 뭔가 써 있어요? <br/>… 그렇지만… 처음 보는 문자군요. <p/><image name='G1_Ch11_12_fomormedal02'/>혹시… 마족문자…? <br/>그렇다. 마족문자에 틀림없습니다. <p/>마족문자는 어려워서, 드루이드들도 읽는데 고생합니다. <br/>유명한 학자에서도, 겨우 읽을 수 있을 정도이기 때문에. <br/>마족들은 이런 말로 어떻게 이야기하겠지요…
g1.212	… 자, 더 이상은 나는 모르네요. <br/>다른 마을의 사제님들에게 들어 보면 어떨까요?
g1.213	마족의 메달입니까? <br/>무슨 말을 하고 있는지 모르네요. <br/>한 번 보여 주지 않겠습니까?
g1.214	… 희귀한 것을 가지고 있네요…. <br/>어떤 것, 조금 보여 주겠습니까…? <p/><image name='G1_Ch11_12_fomormedal01'/>… 이것은… 평상시, 사제들이 사용하는 메달이구먼…? <br/>왠지, 거짓말을 말하고 있는 것 같습니다만…. <br/>이것은 어떻게 봐도, 사제들의 메달인 것입니다만…. <p/>이 세계를 창조한 원리가 들어가 있으면 말해지고 있어<br/>사제라면 누구라도 가지고 있는 것이에요….
g1.215	마족의 메달…? 어떤 것… 조금 보여 주지 않은가…? <p/><image name='G1_Ch11_12_fomormedal01'/>그것은, 사제의 증명이 아닌 걸까나? <p/><image name='G1_Ch11_12_fomormedal01'/>… 우으음…. <br/>이것이 마족으로부터 나왔다고? <br/>신 글자등…. <p/>아니…, 이 메달은 질과 무게가<br/>법황청으로 지급하는 것과는 미묘하게 다르구나…. <p/><image name='G1_Ch11_12_fomormedal02'/>뒤로 뭔가 써 있지만… 읽을 수 없구나…. <br/>역시 마족문자와 같이 보이지만…. <p/>역시 이것은 사람에게는 읽을 수 없을 것이다. <br/>마족이라면 별개이지만….
g1.216	, 나는 더 이상 모르지만. <br/>다른 마을의 사제님들은, 어떻게 말씀하신 것 는? <br/>
g1.217	마족의 메달? <br/>조금 보여 주지 않는 가능? <p/>응? 지금은 없다고? <br/>포포…, 어쩔 수 없는 분이구먼.
g1.218	이것은… 사제들이 가지고 다니는 메달이군요. <br/>이면을 보면 증명으로서 수여된 일자와 이름이<br/>써 있기 때문에, 그것을 보면…. <p/>네? 마족이 가지고 있던 것입니다 라고? 그럴 것은…. <p/><title name='NONE'/>(크리스텔은 메달의 이면을 보았다.)<p/><image name='G1_Ch11_12_fomormedal02'/>…! <p/>있고, 아니오, 아무것도 아닙니다. <br/>나는 일이 있기 때문에, 실례합니다….
g1.219	… 아, 아아…. <p/>네… 그런 물건이 있던 것이군요… 후후…. <p/>그─… 다른 이야기를 하지 않습니까…?
g1.220	… 검은 마법사를 쓰러뜨려 얻은 것이군요…. <br/>생각했던 것보다 간단하게 얻을 것 같습니다만….
g1.221	검은 마법사를 쓰러뜨렸는데 얻는 것이 할 수 없었던 것입니까…? <br/>후후후… 그럴 리는 없다고 생각합니다만….
g1.222	<image name='G1_Ch11_12_fomormedal01'/>저것, 그것은 메이븐 사제님이<br/>가지고 있는 것과 닮아있네요. <p/>주웠어? 주운 것이라면 소유자에게<br/>돌려주지 않으면. 찾고 있을지도 몰라~.
g1.223	으응? 그런 것이 있는 거야…? <br/>그러면, 아리사에도 한 번 보여 줘~. <p/>…. <p/>뭐야, 없는거야…? <p/>, 보고 싶었는데…. <br/>누나에게 들으면 쉿이라고 있을까나…?
g1.224	<image name='G1_Ch11_12_fomormedal01'/>어머나, 그 메달은 어디서 손에 넣은 것입니까? <br/>설마, 엔데리온씨의 메달을 훔쳐 와<br/>레이널드 선생님과 교환한다든가…. <p/>후후후, 농담이에요. <br/>걱정하지 않아도 괜찮아요, 소문에는 하지 않으니까.
g1.225	아…,<username/>씨…. <br/>좀 더, 돈이 되는 것에 관심을 가져 주세요. <p/>볼 때마다 내가 걱정이어요….
g1.226	<image name='G1_Ch11_12_fomormedal01'/>응…? 어디선가 본 것 같은…. <br/>미안합니다, 잘 모르네요.
g1.227	… 무서운 이야기입니까, 혹시? <br/>… 나는 그런 것 싫은데….
g1.228	… 너나, 이제(벌써)…. <br/>그런 것에 관심이 있다고는 몰랐다. <p/>너무 한가 개 잘도 없다고 생각하지만….
g1.229	… 거짓말…. <p/>…. <p/>…. <p/>너 말야, 나의 후계자가 될 생각은 없는가…?
g1.230	<image name='G1_Ch11_12_fomormedal01'/>어머나, 그것은 사제의 메달이 아닙니까? <br/>간단하게 손에 들어 오는 것이 아니라고 생각하지만….
g1.231	… 여행자들은 이봐요 불어니까…. <p/>… 이제(벌써), 지긋지긋.
g1.232	<image name='G1_Ch11_12_fomormedal01'/>낳는, 그것은 사제들이 가지고 있는 메달과 같이 보이지만…. <p/>마족의 메달이라면…? <p/>~… 메이븐 사제님에게 가서 물어 보는 것이<br/>좋은 것이 아닌가?
g1.233	… 조금 보여 주지 않은가. <p/>… 없는 것인지…?
g1.234	<image name='G1_Ch11_12_fomormedal01'/>어머나? 그것은 나 같은 사제들이 가지고 있는 메달과<br/>같게 보이네요. 메이븐 사제님이<br/>없앴을까…? <p/>네? 마족이 가지고 있던 것입니다 라고? <br/>그럴 것은…. <p/>믿을 수 없었습니다들, 메이븐 사제님과 이야기해 주세요. <br/>마족이 가지는 것 같은 것은 아닙니다.
g1.235	그러한 물건이 있던 것입니까…? <br/>그러나, 나보다는 견문이 넓은 메이븐 사제님 쪽이<br/>그러한 이야기를 잘 알리고 있다고 생각합니다만…. <p/>사제 같다고는 말씀하신 것입니까…?
g1.236	<image name='G1_Ch11_12_fomormedal01'/>포포…. <br/>그런 것을 가져와, 마족의 메달이라고 말한다고 믿을 수 있을까…? <p/>어떻게 봐도, 사제님들이 가지고 계신 물건으로 보이지만….
g1.237	… 나는 무기 전문이다…. 액세서리는 잘 모른다….
g1.238	네. 마족의 메달같네요. <br/>… 뒤로 뭔가 써 있는 것 같습니다만…. <p/><image name='G1_Ch11_12_fomormedal02'/>… 으음… 읽어낼 수 없네요. <br/>던전안에 있었다고 하는 일은…. <br/>요즘, 시력이 나뻐져…. <br/>캬 캬 캬…. <p/>일단, 다른 인간은 뭐라고 말했는지<br/>들어 받을 수 있습니까…? <br/>이 고로, 눈을 조금 쉬게 해…. <br/>그리고 지도 합시다.
g1.239	… 블랙 위저드를 만난 것 같네요…. <p/>… 해, 메달은 어디입니까? <p/>혹시… 블랙 위저드에 졌다든가…? <br/>키힛힛히~.
g1.240	<image name='G1_Ch11_12_fomormedal01'/>그것은 사제들이 가지고 있는 메달인 것 같네요. <br/>자세한 것은 성당의 메이븐 사제님에게<br/>들으면 어떻습니까?
g1.241	아무튼, 마족도 그런 물건을 가지고 있을지도 모르네요.
g1.242	<image name='G1_Ch11_12_fomormedal01'/>저것, 그것은 사제님들이 가지고 있는 메달과<br/>정말로 닮네요. <p/>~… 보통 사람이 보면<br/>잘못할 것 같네요. <br/>의심되기 전에, 메이븐 사제님에게 건네주는 것 가<br/>좋은 것이 아닙니까. <p/><image name='G1_Ch11_12_fomormedal02'/>저것… 이면에 뭔가 문자 같은 것이 써 있네요. <br/>문장에도 보이고…, 무엇일까…? 낙서일까…? <p/>네? , 눈이 좋은 것 같습니다 라고? <br/>하하하… 뭐, 그만큼은 아니에요…. <br/>작은 것을 조금 만들기 때문에,<br/>작은 것이라도 신경을 써 버립니다.
g1.243	… 처음 보는 것입니다만…?
g1.244	<image name='G1_Ch11_12_fomormedal01'/>그것은 사제님들이 가지고 있는 메달같네요. <p/>, 그것을 마족으로부터 얻었다고…? <p/>믿을 수 없는 이야기입니다만… 거짓말을 하는 이유<br/>없을 것이고, 이상한 일이군요. <p/>성당에 가, 메이븐 사제님에게 이야기 하면<br/>어떨까요<br/>뭔가 알고 계실지도 모릅니다.
g1.245	… 자…. <br/>나도 오랫동안 세계를 여행했습니다만<br/>그런 이야기는 금시초문입니다….
g1.246	하, 그, 그것은… 설마…. <p/><image name='G1_Ch11_12_fomormedal01'/>엔데리온 사제님의 것으로는… 다를까. <p/>……. <p/>별로 관심이 없구나, 다른 곳에 가 보세요.
g1.247	… 마족의 마부라면 사용할 수 있지만<br/>메달은 어디에 사용하는지 모르는구나…
g1.248	아, 그것은 설마…. <p/><image name='G1_Ch11_12_fomormedal01'/>……. <p/><username/>씨, 도둑은 안됩니다. <br/>빨리 소유자에게 답례하세요. <br/>성당은, 이 아래의 광장으로부터<br/>뱅크를 지나 서쪽이기 때문에. 빨리.
g1.249	… 나는 마족과 상당히 싸웠습니다만<br/>솔직히 말해, 그런 메달에 대해서는 들었던 적이 없습니다. <p/>내가 당신을 믿을 수 있는 것 같은 증거를 보여 주세요.
g1.250	<image name='G1_Ch11_12_fomormedal01'/>뭐야 그것? 이번은 교단에도 들어갈<br/>생각인가? <p/>(이)가 아니었으면, 왜 사제들이 가지고 있는 메달 같은 것을<br/>가지고 있지? <p/>구구구, 뭐 미래가 안보였으면, 제대로 된 밥을 주는 직업이 있어도<br/>나쁘지 않구나. <p/>축복 포션으로 장사하면, 큰 부자가 될 수 있어? 크크크
g1.251	… 거기에나 금메달, 은메달, 동메달이 있을까나…? <p/>…. <p/>… 미안. 허락해, 나도 알고 있다. 이 개그는 실패래.
g1.252	<image name='G1_Ch11_12_fomormedal01'/>어머나, 그것은 크리스텔 사제님이<br/>가지고 있는 메달이 아닙니까? <br/>아… 달랐습니까. 그렇지만, 정말로 닮네요. <p/>혹시, 다른 사제님이 없앤 것일지도 모르기 때문에<br/>성당에 가져 가면 어떨까요.
g1.253	… 그런 메달에 대한 이야기는 들었던 적이 없네요…. <br/>괜찮으면 보여 주지 않겠습니까? 한 번 보고 싶습니다~.
g1.254	아…. <p/>미안합니다만, 아무리 여기가 뭐든지 맡는<br/>뱅크에서도, 훔친 것을 맡는 것은<br/>조금 곤란합니다. <p/>네? 훔치지 않아? <br/>하 하, 이것은 실례했습니다. <br/>내가 오해한 것 같네요.
g1.255	너… 나에게 그런 물건을 맡겼던 적이 있을까…? <br/>나는 그런 물건을 맡은 기억은 없지만… 포포…
g1.256	습득물을 맡기러 온 것입니까…? <p/>……. <p/>(이)가 아니면, 왜 가져왔는지 모르네요.
g1.257	정직, 나는 그런 물건에 관심이 없습니다.
g1.258	<image name='G1_Ch11_12_fomormedal01'/>이런, 뭐야. <br/>그것은 크리스텔씨가 가지고 있는 것이 아닌가? <p/>, 오호호… 미안해요. <br/>꼭 닮으면 잘못한 것 같다.
g1.259	… 그런 메달도 있는 것이군…. <br/>어떤 물건인가, 이번에 기회가 있으면 보여 줘…. <br/>오호호….
g1.260	<image name='G1_Ch11_12_fomormedal01'/>그것, 액세서리로서의 가치가 너무 없다. <br/>옷에 어울리면서 사람을 눈에 띄게 하는<br/>그야말로가 액세서리의 가치가 아니야? <p/>결국, 액세서리도 디자이너의 손을 거쳐야만<br/>제대로 한 것을 할 수 있는 거야.
g1.261	… 액세서리, 패션의 마무리함. <br/>그런 이름의 액세서리라면<br/>무슨 옷을 코디네이터 하는 것도 어려울 것 같지만…. <p/>… 한 번 가져와 주지 않겠어?
g1.262	<image name='G1_Ch11_12_fomormedal01'/>…. <br/>주웠다면, 크리스텔 사제님에게 가져 가세요.
g1.263	… 지금, 농담을 말하고 있는지?
g1.264	<image name='G1_Ch11_12_fomormedal01'/>그것은 사제들이 가지고 있는 메달과<br/>닮네요. <p/>컴건 사제에게 들어 보면<br/>어떻습니까?
g1.265	마족의 메달이라고 하는 것이 있습니까…? <br/>한 번 보고 싶습니다만…. <br/>혹시, 가져와 주지 않습니까?
g1.266	그것이라면 컴건에 들어 줘. <p/>나에게 가져와도 어쩔 수 없으니까.
g1.267	… 메달? <br/>젊은이가 그런 거짓말과 같은 이야기를 하고 있다고는….
g1.268	<image name='G1_Ch11_12_fomormedal01'/>응? 그것은 컴건이 가지고 있는 메달과 같은<br/>물건이 아니야? <p/>컴건의 물건이 아니겠지요? 가서 물어 보면.
g1.269	마족도 자신을 장식할까나…? <br/>어느 쪽으로 해 우둔인 물건인가<br/>모르기 때문에, 뭐라고도 말할 수 없지만 말야.
g1.270	<image name='G1_Ch11_12_fomormedal01'/>뭐야, 그것? 컴건이 가지고 있는 것일까? (이)가 아닌<br/>일지도. <p/>그렇지만, 그런 물건이니까 가지고 있는지<br/>전혀 몰라.
g1.271	뭐, 그것을 살 마음이 있을까를 묻고 있는지, 지금? <p/>… 물건을 가지고 와라. 보고 나서 생각해 보자. 콧혼!
g1.272	<image name='G1_Ch11_12_fomormedal01'/>아… 그것…. <p/>컴건 오빠의 것과 닮아 있다…. <p/>전에 이비에 보여 주었어…. <br/>훌륭한 사람으로부터 받은 중요한 것 라고….
g1.273	… 이비…, 그렇게 이상한 이야기는 싫어…,<br/>혹시… 무서워하게 하고 있는 거야…?
g1.274	<image name='G1_Ch11_12_fomormedal01'/>저것, 그것은 사제들이 가지고 있는 메달이군요. <br/>설마, 컴건이 떨어뜨렸지 않겠지요? <p/>하 하, 컴건이 그토록 소중히 하고 있는 것을<br/>오토시는 하지 않겠지요. <br/>가끔, 입다물고 숨겨, 놀래키고 싶을 정도 이기 때문에.
g1.275	그런 물건을 본 것입니까…? <br/>굉장하네요. 만약 가지고 있으면<br/>보여 주지 않겠습니까?
g1.276	<image name='G1_Ch11_12_fomormedal01'/>응? 그것, 컴건 오빠의 것이 아닌거야? <br/>언제나 목으로부터 낮추고 있는 무거운 것 같은 녀석. <p/>내가 무겁지 않은 것이라고 들으면, 뭔가 어려운<br/>이야기를 해, 전혀 무겁지 않다고.
g1.277	위~, 그런 물건이 있는 거야? 보여 줘~.
g1.278	<image name='G1_Ch11_12_fomormedal01'/>아, 그것은, 후우, 사제들이 가지고 다니는,<br/>메달과 닮아 있네요, 하… 하…. <p/>어디선가 주웠다면, 컴건에 가져 가면<br/>어떻습니까, 하… 하….
g1.279	하… 하… 그것이 어떻게든 한 것입니까…?
g1.280	<image name='G1_Ch11_12_fomormedal02'/>사제의 증명… 입니까? 이것이…? <br/>이것은, 고위마족의 보신부입니다만… 어디어디…. <br/>역시…[두르·브라우·다이 램·세논]…. 마족의 물건이군요. <br/>그렇게 말하면 오래간만입니다… 마족의 문자는…. 후후…. <p/>어릴 적부터 인간의 말을 배우고 있었으므로,<br/>상당히 잊어 버리고 있습니다만…. <br/>거기는 머리가 좋은 고로, 이것 정도는 제대로 읽을 수 있어요. <p/>당신의 무용에 경의를 나타내,<br/>나와 같은 고블린을 만날 수 있었던 일을 기념해,<br/>내용을 지도<p/>… 할 수 있으면 얼마나 좋은 일입니까! <p/>인간의 세계는 거래로 성립하고 있다고 들었습니다. <br/>이 고로의 소원을 하나 들어 주지 않겠습니까? <br/>에린의 여기저기를 여행한 당신이라면,<br/>나의 부탁은 간단한 일이라고 생각합니다. <p/>그것은…,<br/>일전에, 어느 약속이 있어 키아 하급마족던전을 지났을 때,<br/>반지를 하나 없앤 것입니다. <p/>나는 아레나의 관리자…. <br/>거기까지 갔다올 시간이 지금은 없습니다…. <br/>아레나를 내팽개침으로 하는 일도 할 수 없고…. <p/>키아 하급마족던전에서, 나의 반지를 찾아 와 주지 않겠습니까? <br/>찾아 주면, 마족의 문자의 의미를 지도 합니다. <br/>퀘스트 스크롤은, 키아단젼에 가는 도중에 후크로우가 가져올 것입니다. <p/>아, 주의해 받고 싶은 일이 있습니다…. <br/>키아 하급마족던전에는, 반드시 혼자서 들어가 주세요. <br/>내가 반지를 잃었던 것이, 혼자서 들어간 하급마족던전이었으므로…. <br/>… 잊지 말아 주세요….
g1.281	사제의 증명? 흐므…. <br/>그런데…, 당신은 메달도 없는데 이상한 일을 묻네요….
g1.282	… 사제의 증명은 마족의 메달과 닮아 있습니다. <br/>왜, 그런가는 여러가지 의견이 있습니다만….
g1.283	… 나는 드루이드, 사제의 메달에 관심을 가지지 않습니다.
g1.284	<image name='G1_Ch11_12_fomormedal02'/>…! <p/>… 아, 이것은…. <br/>아…, 미안합니다. 이런 물건은 모릅니다, 나는.
g1.285	… 마족의 문자? <br/>티르코네일에는, 인간과 회화를 할 수 있는 마족이 있는 것 같습니다만,<br/>그 마족이라면 뭔가 알고 있는 것이 아닐까요?
g1.286	<image name='G1_Ch11_12_fomormedal01'/>이상하구나…. 조금 전은 이것을 닮은 것을<br/>마족의 메달이라도 들었는데~? <p/>… 액세서리는 여러가지 이름도 있기도 하고…. <br/>어떻게 생각해…?
